schema_version,run_id,case_id,family,method,spectral_samples,dg_dimension,runtime_seconds,peak_memory_mb_estimate,iterations,research_status,registry_sha256,source_git_commit
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p09_n15_small,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,15,90,0.05237819999456406,0.2531967163085938,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,traditional_pointwise_eigendecomposition,9,54,0.01115010000648908,0.00968170166015625,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,ordered_partial_real_schur_tracking,9,54,0.01023010000062641,0.09171295166015625,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_halo_12p097_n9_lowres_negative,earth_moon_l1_quasi_halo,qr_svd_shifted_cocycle_iteration,9,54,0.039206399997056,0.09352874755859375,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,33,198,0.02976670000498416,0.0312957763671875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,33,198,0.06552609999926062,0.9330368041992188,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n33,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,33,198,0.1412539000011748,0.9099578857421875,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,45,270,0.04655590000038501,0.0537567138671875,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,45,270,0.1179564999983995,1.728569030761719,0,boundary,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n45,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,45,270,0.268371300000581,1.689102172851562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,traditional_pointwise_eigendecomposition,57,342,0.07853810000233352,0.0827484130859375,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,ordered_partial_real_schur_tracking,57,342,0.1881907999995747,2.767936706542969,0,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,em_vertical_12p66_n57,earth_moon_l1_quasi_vertical,qr_svd_shifted_cocycle_iteration,57,342,0.3105489999943529,2.707656860351562,4,accepted,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_68,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.002281400003994349,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_68,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1405442999966908,1.739069938659668,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_68,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.406189900000754,1.70162296295166,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_17,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001343399999313988,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_17,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1277351999960956,1.740276336669922,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_17,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.304486900000484,1.69964599609375,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_32,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001041599993186537,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_32,earth_moon_route_h_quasi_dro,ordered_partial_real_schur_tracking,45,270,0.1197973000016646,1.739856719970703,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_32,earth_moon_route_h_quasi_dro,qr_svd_shifted_cocycle_iteration,45,270,6.342200699997193,1.698649406433105,200,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
invariant_bundle_runtime_scaling_v1,FRESH-20260716T073007Z-2D9EC0DB-bundle,route_h_member_54,earth_moon_route_h_quasi_dro,traditional_pointwise_eigendecomposition,45,270,0.001215600001160055,0.0479736328125,0,fail,B38099E93BB85AD4B97035D667A4AD5E6A74C1805B612EDEABC7AF6497C23EE5,cf04669322d43dfb61acbeaf9e20b85f0c7bf772
