target_id,script,png,png_exists,png_bytes,width_px,height_px,png_sha256,pdf,pdf_exists,pdf_bytes,pdf_sha256,stage_a_status
3.13,figures/fig_3_13.py,outputs/figures_png/fig_3_13.png,True,137655,2553,1053,844b039390d53297398715cab9e68ec85262d641d3ca7f7d8469f4f609c06efc,outputs/figures_pdf/fig_3_13.pdf,True,19025,4fcee45b3e966d7278b7f9055e2162cf400a9404cae9e272fd5eafa24e869341,existing_project_output; stage_b_copy_or_reexport_required
3.14,figures/fig_3_14.py,outputs/figures_png/fig_3_14.png,True,593194,2429,2643,14ec9fbdf975287807b2d531fb67a8cd1c37017ee18fd921bc80cafc647ecb39,outputs/figures_pdf/fig_3_14.pdf,True,328130,97d496b7e347eefd2fab46625b942ccf8c3ce865e89031d279592dfacb5cef3d,existing_project_output; stage_b_copy_or_reexport_required
3.15,figures/fig_3_15.py,outputs/figures_png/fig_3_15.png,True,136757,2373,1053,a784a16567cffab6e11959533b29b08e4b3bd85f3d2bf7b0bc394ce42ce2920b,outputs/figures_pdf/fig_3_15.pdf,True,16824,cd0bac03cf258473313e1ce420e0970c5d475bce0a77745c9551cd32d9317c07,existing_project_output; stage_b_copy_or_reexport_required
3.16,figures/fig_3_16.py,outputs/figures_png/fig_3_16.png,True,910355,2357,2222,3c32541460f37f104c12e964a85831653086d04279f881bd70b907757b24e004,outputs/figures_pdf/fig_3_16.pdf,True,55140,680b567f2e8d224646aede6df066cd61a8a374adabd1e3883d9200db39e93712,existing_project_output; stage_b_copy_or_reexport_required
3.17,figures/fig_3_17.py,outputs/figures_png/fig_3_17.png,True,198488,2403,1053,06b0d285f4b90ba06de5ba2f8eb919f50fdf0d3819d54c5307022e39452ee833,outputs/figures_pdf/fig_3_17.pdf,True,29751,430789c10151fbe3bb09cc41ac9a0ecf71be1dad1963caa96ea7f7bf7bdda3cd,existing_project_output; stage_b_copy_or_reexport_required
4.1,figures/fig_4_01.py,outputs/figures_png/fig_4_1.png,True,230222,2364,1218,247674d6ab10e8f575297cf36fb30715ada7e594da5cd1a7a694d1a6df2f1469,outputs/figures_pdf/fig_4_1.pdf,True,62157,ae2e9d01a1f3b8920d8392fb16c22c7f5a3aea1cf2fb96e2396ef159681c7fe9,existing_project_output; stage_b_copy_or_reexport_required
4.2,figures/fig_4_02.py,outputs/figures_png/fig_4_2.png,True,86249,2223,1083,fc5a284c89a0040516e88bb5509e6acb0e100d9fbfc8c07e09d31f0013099a33,outputs/figures_pdf/fig_4_2.pdf,True,16527,5f036d6e9f2ceb421cfb7fbda5d5a60def0de97d7f4ffae9bab1a618e9efd0b7,existing_project_output; stage_b_copy_or_reexport_required
4.3,figures/fig_4_03.py,outputs/figures_png/fig_4_3.png,True,817366,2552,2366,1c6949147ac990585eacd7bbf0e3d291fe50151a4b23251318f241b0a875c180,outputs/figures_pdf/fig_4_3.pdf,True,327122,c8591a2ebc14bf50f323faaec2cfbb7c0ac1bd2642170b5a0350efc69be83736,existing_project_output; stage_b_copy_or_reexport_required
4.4,figures/fig_4_04.py,outputs/figures_png/fig_4_4.png,True,523777,2545,2150,b61dd30a56fe0cd7ac03279cef8e6693fbb39830521519334e7ff50699ca9f46,outputs/figures_pdf/fig_4_4.pdf,True,318155,3be8dee50e3859e61572504a2afc03c52baa82f374f16a6536d50b37def65ca1,existing_project_output; stage_b_copy_or_reexport_required
4.5,figures/fig_4_05.py,outputs/figures_png/fig_4_5.png,True,1009863,2551,2321,a29e7cbe6502a4d2e297aadf7356a3041e44ff7905e6c20acba7244cd40ed510,outputs/figures_pdf/fig_4_5.pdf,True,1234039,ac4149ac21ae5ab47b7165b6f354cda4b681e9fe0bf21615e693c659dde96183,existing_project_output; stage_b_copy_or_reexport_required
4.6,figures/fig_4_06.py,outputs/figures_png/fig_4_6.png,True,507871,2449,1976,66b57eb3278f23b2b43ac483647671dba46aeda21c274de1ac30e3934cbb7534,outputs/figures_pdf/fig_4_6.pdf,True,1172489,ba8d56bb3bd6dccd9c7b9c074df125c340ea349b45f46b16853c21e218acaf4a,existing_project_output; stage_b_copy_or_reexport_required
4.7,figures/fig_4_07.py,outputs/figures_png/fig_4_7.png,True,187321,1529,1383,93cbd3c6b5bf2a70d0154fefeb7264216a54bf226a8bbd5c9d05ff320a54d788,outputs/figures_pdf/fig_4_7.pdf,True,66859,2e24837b1178d0da2477ed76cec143411f92ac4afaf9668ec4e9a8d182a7ad8d,existing_project_output; stage_b_copy_or_reexport_required
4.8,figures/fig_4_08.py,outputs/figures_png/fig_4_8.png,True,214589,1520,1383,b32b9e712417a55f911efa4b49d15ca7befe6fc8bd2ee4434e0d8640ea64c027,outputs/figures_pdf/fig_4_8.pdf,True,184164,b9e54703a0fc2ab3341ba2784ae4c7cccebbea4ae9cb8e00e6aab6aca94ae318,existing_project_output; stage_b_copy_or_reexport_required
