theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
7,3,210.0,67.5,27414.051240038505,-311.56845146790397,1.0,4.284128607423554e-12
7,4,210.0,90.0,27414.522178425057,-311.56844319222415,1.0,4.263700503770451e-12
7,5,210.0,112.5,27415.019482629777,-311.56844971913665,1.0,4.337863401815412e-12
7,6,210.0,135.0,27415.470697966317,-311.5684709856852,1.0,4.245492846166599e-12
7,7,210.0,157.5,27415.80497695738,-311.56850313865255,1.0,4.25393054115375e-12
7,8,210.0,180.0,27415.971473716392,-311.56854129654835,1.0,4.271694109547752e-12
7,9,210.0,202.5,27415.94458025166,-311.5685795762837,1.0,4.264144592980301e-12
7,10,210.0,225.0,27415.728797184198,-311.5686122664063,1.0,4.227729277772596e-12
7,11,210.0,247.5,27415.358500550345,-311.56863482589114,1.0,4.282796339794004e-12
7,12,210.0,270.0,27414.888590300212,-311.5686433980332,1.0,4.261924146931051e-12
7,13,210.0,292.5,27414.38876147375,-311.568636149794,1.0,4.312106227644108e-12
7,14,210.0,315.0,27413.93793388472,-311.56861499249646,1.0,4.25570689799315e-12
7,15,210.0,337.5,27413.605964060145,-311.5685834969613,1.0,4.278355447695503e-12
8,0,211.0,0.0,25738.812931597484,-311.56798550215143,1.0,1.752820111278197e-11
8,1,211.0,22.5,25738.819868924304,-311.5679477784102,1.0,1.757749501507533e-11
8,2,211.0,45.0,25739.013236391766,-311.56791539126596,1.0,1.752331613147362e-11
8,3,211.0,67.5,25739.362845296277,-311.56789304796916,1.0,1.7548629216435074e-11
8,4,211.0,90.0,25739.815175907806,-311.5678840618101,1.0,1.752420430989332e-11
8,5,211.0,112.5,25740.30225223095,-311.567890064019,1.0,1.7534418361719872e-11
8,6,211.0,135.0,25740.749616500452,-311.5679100500435,1.0,1.750732891991902e-11
8,7,211.0,157.5,25741.088125518418,-311.56794066950556,1.0,1.7489121262315166e-11
8,8,211.0,180.0,25741.267553105496,-311.5679776505569,1.0,1.7474910407599964e-11
8,9,211.0,202.5,25741.259233709912,-311.5680149625985,1.0,1.7498447135722017e-11
8,10,211.0,225.0,25741.065589405604,-311.5680472689228,1.0,1.7486456727056066e-11
8,11,211.0,247.5,25740.71736555288,-311.56807002687526,1.0,1.7569945498507877e-11
8,12,211.0,270.0,25740.26463217791,-311.56807889591397,1.0,1.7494006243623517e-11
8,13,211.0,292.5,25739.7768624322,-311.5680726883436,1.0,1.750910527675842e-11
8,14,211.0,315.0,25739.330144811815,-311.5680528931051,1.0,1.7535750629349423e-11
8,15,211.0,337.5,25738.992758977634,-311.56802260469306,1.0,1.7482904013377265e-11
9,0,212.0,0.0,24133.15345915083,-311.56861324000664,1.0,5.5564441936439835e-12
9,1,212.0,22.5,24133.14166887058,-311.56857630792916,1.0,5.5422333389287814e-12
9,2,212.0,45.0,24133.31419649206,-311.56854468104615,1.0,5.554223747594733e-12
9,3,212.0,67.5,24133.642249727327,-311.56852239186634,1.0,5.536904268410581e-12
9,4,212.0,90.0,24134.076173928872,-311.5685129224304,1.0,5.53290746552193e-12
9,5,212.0,112.5,24134.549962302994,-311.56851773056053,1.0,5.46362954878532e-12
9,6,212.0,135.0,24134.99261204355,-311.5685364329186,1.0,5.595968133320639e-12
9,7,212.0,157.5,24135.335500858273,-311.5685658009235,1.0,5.572431405198586e-12
9,8,212.0,180.0,24135.526994068783,-311.56860153970155,1.0,5.539124714459831e-12
9,9,212.0,202.5,24135.536886044498,-311.568637883141,1.0,5.5782045649266365e-12
9,10,212.0,225.0,24135.364280510228,-311.5686694872119,1.0,5.546674231027282e-12
9,11,212.0,247.5,24135.037654992993,-311.56869222118826,1.0,5.60396173909794e-12
9,12,212.0,270.0,24134.60387316456,-311.56870173745716,1.0,5.559108728903084e-12
9,13,212.0,292.5,24134.128578829463,-311.5686964641906,1.0,5.566658245470535e-12
9,14,212.0,315.0,24133.686518010254,-311.5686779428347,1.0,5.497380328733925e-12
9,15,212.0,337.5,24133.344292945058,-311.5686487774207,1.0,5.593303598061539e-12
10,0,213.0,0.0,22596.326576337124,-311.57052082238914,1.0,8.834266651547296e-12
10,1,213.0,22.5,22596.29804990125,-311.57048517978706,1.0,8.837819365226096e-12
10,2,213.0,45.0,22596.44888443428,-311.5704540313361,1.0,8.835598919176846e-12
