sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
549,190.8111590327451,0.989500272928901,-0.0007930560688508336,0.006246060136238481,-0.0006882178278326359,0.01265640818531365,0.001050631291678185,1831113.447463267,3.000609575982076
550,191.1587203424587,0.9894963502750769,-0.0007173388144187403,0.006252043551813163,-0.0006239457103618016,0.01267179188265784,0.0009508912253416791,1831374.876610924,3.000609575982075
551,191.5062816521723,0.9894928121997595,-0.0006415341509156058,0.006257430437072086,-0.0005595728619995897,0.01268564751235993,0.0008510849437707181,1831611.2882685,3.000609575982075
552,191.8538429618858,0.9894896592730527,-0.0005656512178509586,0.006262220417317124,-0.0004951100392743441,0.01269797394072271,0.0007512195360524634,1831822.728635784,3.000609575982076
553,192.2014042715994,0.9894868920007091,-0.0004896991611237879,0.006266413160238977,-0.000430568011891635,0.01270877016414816,0.0006513020927123231,1832009.239075886,3.000609575982075
554,192.548965581313,0.9894845108240551,-0.0004136871322435624,0.006270008375925283,-0.000365957561183564,0.01271803530951026,0.0005513397055536129,1832170.856090886,3.000609575982075
555,192.8965268910265,0.989482516119927,-0.0003376242875491603,0.00627300581686777,-0.0003012894785545903,0.01272576863448268,0.0004513394674907642,1832307.611300331,3.000609575982075
556,193.2440882007401,0.9894809082006145,-0.0002615197874259734,0.006275405277968387,-0.0002365745639242781,0.01273196952782097,0.0003513084723770201,1832419.531423052,3.000609575982075
557,193.5916495104537,0.9894796873138151,-0.000185382795521461,0.006277206596544386,-0.0001718236241671163,0.01273663750959913,0.0002512538148273581,1832506.638261945,3.000609575982075
558,193.9392108201672,0.9894788536425967,-0.0001092224779594261,0.006278409652332337,-0.0001070474715505962,0.01273977223140053,0.0001511825900375538,1832568.948691944,3.000609575982075
559,194.2867721298808,0.9894784073053706,-3.304800255328563e-05,0.006279014367491055,-4.225692217130875e-05,0.01274137347646288,5.110189360021796e-05,1832606.474651062,3.000609575982075
560,194.6343334395943,0.9894783483558726,4.313146198138567e-05,0.006279020706603418,2.253720561004023e-05,0.01274144115977733,-4.898117868139872e-05,1832619.22313468,3.000609575982075
561,194.9818947493079,0.9894786767831545,0.0001193067468147693,0.006278428676677058,8.73240927341319e-05,0.0127399753281416,-0.0001490595309808865,1832607.196192787,3.000609575982075
562,195.3294560590215,0.9894793925115851,0.0001954686837908958,0.00627723832714395,0.0001520929210087206,0.01273697616016702,-0.0002491260676366836,1832570.390930456,3.000609575982075
563,195.677017368735,0.9894804954008591,0.0002716081062156429,0.006275449749858853,0.0002168328746740268,0.01273244396623971,-0.0003491736933397763,1832508.799511523,3.000609575982075
564,196.0245786784486,0.9894819852460168,0.0003477158496443631,0.006273063079096651,0.0002815331419670999,0.01272637918843569,-0.0004491953133201449,1832422.409165272,3.000609575982075
565,196.3721399881622,0.9894838617774729,0.000423782752668865,0.006270078491548577,0.0003461829166847772,0.01271878240039019,-0.0005491838335312207,1832311.202196249,3.000609575982075
566,196.7197012978757,0.989486124661054,0.0004997996577034893,0.006266496206317342,0.0004107713997448344,0.0127096543071211,-0.0006491321608314461,1832175.155997334,3.000609575982075
567,197.0672626075893,0.9894887734980461,0.0005757574117699653,0.006262316484911189,0.0004752878007445941,0.01269899574480679,-0.0007490332031621023,1832014.24306577,3.000609575982075
568,197.4148239173028,0.9894918078252508,0.00065164686728083,0.006257539631236901,0.0005397213395166734,0.01268680768051851,-0.0008488798697206036,1831828.431022443,3.000609575982075
569,197.7623852270164,0.9894952271150518,0.0007274588828210996,0.006252165991591784,0.0006040612476813459,0.0126730912119073,-0.0009486650711283738,1831617.682634127,3.000609575982076
570,198.10994653673,0.9894990307754892,0.0008031843239279347,0.006246195954654672,0.0006682967701948221,0.01265784756684601,-0.001048381719592468,1831381.955838956,3.000609575982076
571,198.4575078464435,0.9895032181503444,0.0008788140638680321,0.006239629951475972,0.0007324171668934685,0.0126410781030263,-0.001148022729060154,1831121.203774878,3.000609575982075
572,198.8050691561571,0.9895077885192336,0.000954338984412472,0.006232468455466822,0.0007964117140328133,0.01262278430751115,-0.001247581015365528,1830835.374811198,3.000609575982075
573,199.1526304658706,0.9895127410977103,0.001029749976608768,0.006224711982387395,0.0008602697058214914,0.01260296779624309,-0.001347049496367456,1830524.412583251,3.000609575982075
574,199.5001917755842,0.9895180750373775,0.001105037941549823,0.006216361090334402,0.0009239804559493326,0.01258163031350846,-0.001446421092077879,1830188.256029952,3.000609575982076
575,199.8477530852977,0.9895237894260086,0.00118019379113957,0.006207416379727859,0.0009875332991090367,0.0125587737313581,-0.001545688724779719,1829826.839434576,3.000609575982075
576,200.1953143950113,0.9895298832876773,0.001255208448855018,0.006197878493297192,0.001050917592511688,0.01253440004898485,-0.001644845319133605,1829440.092468347,3.000609575982075
577,200.5428757047249,0.9895363555828974,0.001330072850504443,0.006187748116066722,0.001114122717394626,0.01250851139205824,-0.001743883802272537,1829027.940237096,3.000609575982075
578,200.8904370144384,0.98954320520877,0.001404777944981473,0.006177025975340642,0.00117713808052231,0.0124811100120169,-0.00184279710388362,1828590.303330956,3.000609575982075
579,201.237998324152,0.9895504309991414,0.001479314695014824,0.006165712840687526,0.001239953115679091,0.01245219828531898,-0.001941578156276207,1828127.097876833,3.000609575982076
580,201.5855596338656,0.9895580317247687,0.001553674077913426,0.006153809523924492,0.001302557285153758,0.01242177871265131,-0.002040219894435442,1827638.235593916,3.000609575982076
581,201.9331209435791,0.9895660060934948,0.001627847086306696,0.006141316879101077,0.001364940081215597,0.01238985391809763,-0.002138715256060577,1827123.62385207,3.000609575982075
582,202.2806822532927,0.9895743527504315,0.00170182472887972,0.006128235802482937,0.001427091027581574,0.01235642664826648,-0.002237057181587174,1826583.165733068,3.000609575982075
583,202.6282435630062,0.9895830702781531,0.001775598031103111,0.006114567232535458,0.001488999680874012,0.01232149977137937,-0.002335238614192294,1826016.760094611,3.000609575982075
584,202.9758048727198,0.989592157196896,0.001849158035957274,0.006100312149907403,0.00155065563206897,0.01228507627631981,-0.002433252499782043,1825424.301637343,3.000609575982075
585,203.3233661824333,0.9896016119647694,0.001922495804650895,0.006085471577414669,0.00161204850793468,0.01224715927164375,-0.0025310917869606,1824805.680974447,3.000609575982075
586,203.6709274921469,0.9896114329779734,0.001995602417333384,0.006070046580024303,0.001673167972460001,0.01220775198455211,-0.002628749426979902,1824160.784704091,3.000609575982076
587,204.0184888018605,0.9896216185710255,0.002068468973801074,0.006054038264838866,0.001734003728272223,0.01216685775982611,-0.002726218373669196,1823489.495484651,3.000609575982075
588,204.3660501115741,0.989632167016996,0.00214108659419693,0.006037447781081293,0.001794545518044753,0.012124480058726,-0.00282349158334378,1822791.692112548,3.000609575982075
589,204.7136114212876,0.9896430765277515,0.002213446419703588,0.006020276320080348,0.001854783125893699,0.01208062245785396,-0.002920562014691988,1822067.249602788,3.000609575982076
590,205.0611727310012,0.989654345254207,0.002285539613229469,0.006002525115256839,0.001914706378763623,0.01203528864798186,-0.00301742262863973,1821316.03927215,3.000609575982076
591,205.4087340407147,0.9896659712865863,0.002357357360087788,0.005984195442110692,0.001974305147802215,0.01198848243284462,-0.003114066388191803,1820537.928824889,3.000609575982075
592,205.7562953504283,0.9896779526546895,0.002428890868668264,0.005965288618209063,0.002033569349723709,0.01194020772790004,-0.003210486258249152,1819732.782441182,3.000609575982075
593,206.1038566601418,0.9896902873281704,0.002500131371101286,0.00594580600317561,0.002092488948161038,0.01189046855905566,-0.003306675205401356,1818900.460867917,3.000609575982075
594,206.4514179698554,0.9897029732168205,0.002571070123914394,0.005925748998681073,0.00215105395500649,0.01183926906136375,-0.003402626197693527,1818040.821512116,3.000609575982075
595,206.798979279569,0.989716008170862,0.002641698408680859,0.005905119048435345,0.002209254431741002,0.01178661347768502,-0.003498332204366858,1817153.718536703,3.000609575982076
596,207.1465405892826,0.9897293899812475,0.00271200753266018,0.005883917638181153,0.002267080490751834,0.01173250615732205,-0.003593786195572046,1816239.002958863,3.000609575982075
597,207.4941018989961,0.9897431163799689,0.00278198882943032,0.005862146295689552,0.002324522296638905,0.01167695155462313,-0.003688981142054884,1815296.522750607,3.000609575982075
598,207.8416632087097,0.9897571850403734,0.002851633659511516,0.005839806590757378,0.002381570067509503,0.01161995422755759,-0.003783910014813084,1814326.122941844,3.000609575982075
599,208.1892245184232,0.9897715935774866,0.00292093341098148,0.005816900135206841,0.002438214076261775,0.01156151883626343,-0.003878565784723799,1813327.645725717,3.000609575982075
600,208.5367858281368,0.9897863395483449,0.002989879500081839,0.005793428582887431,0.002494444651856591,0.01150165014156809,-0.003972941422140842,1812300.930566163,3.000609575982076
601,208.8843471378503,0.9898014204523338,0.003058463371815653,0.00576939362968033,0.002550252180578503,0.01144035300348338,-0.004067029896461036,1811245.814307867,3.000609575982075
602,209.2319084475639,0.9898168337315342,0.003126676500535869,0.00574479701350551,0.002605627107285417,0.01137763237967554,-0.004160824175658762,1810162.131288288,3.000609575982075
603,209.5794697572775,0.9898325767710771,0.003194510390524529,0.005719640514331711,0.002660559936647352,0.01131349332391132,-0.004254317225788034,1809049.713451903,3.000609575982076
604,209.927031066991,0.9898486468995039,0.003261956576562653,0.005693925954189489,0.002715041234374591,0.01124794098448109,-0.004347502010451316,1807908.390466664,3.000609575982076
605,210.2745923767046,0.9898650413891362,0.003329006624490597,0.005667655197187548,0.00276906162843514,0.01118098060259998,-0.004440371490234241,1806737.989842396,3.000609575982075
606,210.6221536864181,0.9898817574564502,0.003395652131758816,0.005640830149532557,0.002822611810262107,0.01111261751078806,-0.004532918622105574,1805538.337051491,3.000609575982075
607,210.9697149961317,0.989898792262461,0.003461884727968852,0.00561345275955265,0.002875682535950948,0.01104285713123066,-0.004625136358781493,1804309.255651377,3.000609575982075
608,211.3172763058453,0.9899161429131119,0.003527696075404496,0.005585525017724853,0.002928264627447228,0.01097170497411966,-0.004717017648053563,1803050.567409198,3.000609575982075
609,211.6648376155589,0.9899338064596722,0.003593077869552946,0.005557048956706613,0.002980348973725077,0.01089916663597706,-0.004808555432079526,1801762.092428307,3.000609575982075
610,212.0123989252724,0.9899517798991411,0.003658021839615914,0.005528026651371714,0.003031926531956382,0.01082524779796183,-0.004899742646636039,1800443.649276788,3.000609575982076
611,212.3599602349859,0.9899700601746591,0.003722519749010557,0.005498460218850745,0.003082988328671883,0.01074995422416099,-0.00499057222033279,1799095.055117785,3.000609575982075
612,212.7075215446995,0.9899886441759259,0.003786563395860138,0.005468351818576402,0.003133525460913988,0.01067329175986624,-0.005081037073786959,1797716.12584177,3.000609575982075
613,213.0550828544131,0.9900075287396259,0.003850144613474354,0.005437703652333847,0.003183529097381907,0.01059526632983714,-0.005171130118757355,1796306.676200563,3.000609575982076
614,213.4026441641267,0.9900267106498595,0.003913255270819236,0.005406517964316354,0.003232990479569699,0.01051588393655202,-0.005260844257237355,1794866.519943208,3.000609575982075
615,213.7502054738402,0.9900461866385819,0.003975887272976559,0.005374797041186516,0.003281900922897845,0.01043515065844775,-0.005350172380505851,1793395.469953541,3.000609575982076
616,214.0977667835538,0.9900659533860485,0.004038032561592701,0.005342543212143245,0.003330251817838673,0.01035307264814961,-0.005439107368135379,1791893.33838959,3.000609575982075
617,214.4453280932673,0.9900860075212672,0.004099683115316886,0.005309758848994838,0.003378034631036309,0.01026965613069246,-0.005527642086956529,1790359.936824551,3.000609575982075
618,214.7928894029809,0.9901063456224564,0.004160830950228775,0.005276446366238368,0.003425240906421996,0.0101849074017343,-0.005615769389977911,1788795.076389579,3.000609575982075
619,215.1404507126944,0.9901269642175115,0.004221468120255349,0.00524260822114566,0.003471862266325087,0.01009883282576366,-0.00570348211526069,1787198.567918046,3.000609575982075
620,215.488012022408,0.9901478597844757,0.004281586717577064,0.005208246913856142,0.003517890412580732,0.01001143883430193,-0.005790773084746907,1785570.222091651,3.000609575982076
621,215.8355733321216,0.9901690287520202,0.004341178873023255,0.005173364987476831,0.003563317127634689,0.009922731924101943,-0.005877635103040691,1783909.849587844,3.000609575982075
622,216.1831346418352,0.9901904674999277,0.004400236756456738,0.00513796502818977,0.003608134275646289,0.009832718655344254,-0.005964060956141414,1782217.261229097,3.000609575982075
623,216.5306959515487,0.9902121723595857,0.004458752577147645,0.005102049665367162,0.003652333803590116,0.009741405649832195,-0.006050043410128004,1780492.268133482,3.000609575982076
624,216.8782572612623,0.9902341396144839,0.004516718584136462,0.005065621571694525,0.003695907742357426,0.009648799589187299,-0.006135575209793411,1778734.681866972,3.000609575982076
625,217.2258185709758,0.9902563655007202,0.004574127066586278,0.005028683463302175,0.003738848207857927,0.009554907213046386,-0.006220649077228282,1776944.314597042,3.000609575982075
