mode,panel,sample,epoch_utc,phase_deg,time_days,x_sun_moon_km,y_sun_moon_km,z_sun_moon_km,earth_moon_distance_km,sun_moon_distance_km,lunar_eclipse,earth_occultation,cr3bp_jacobi_span,frame_orthogonality_error,eclipse_duration_hours,earth_occultation_hours,minimum_shadow_clearance_km
phase,3,255,2020-06-15T00:00:00Z,120,104.7654189019546,438.9384029613515,-88389.96382575485,-4586.96783042849,395181.5183883576,150184237.2851259,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,256,2020-06-15T00:00:00Z,120,105.1762636819623,-7741.27944939387,-93911.56349888175,-5671.80862840074,396614.5707507191,150189743.8566065,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,257,2020-06-15T00:00:00Z,120,105.5871084619699,-14784.96082656661,-98350.97375599566,-6530.271197721115,397950.0626777303,150193214.4642868,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,258,2020-06-15T00:00:00Z,120,105.9979532419776,-20844.95146697658,-101466.7037539892,-7190.095782937078,399188.0497107882,150194532.5930731,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,259,2020-06-15T00:00:00Z,120,106.4087980219853,-26132.61614100367,-103085.4524082329,-7683.658645554962,400328.9529454415,150193596.9003577,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,260,2020-06-15T00:00:00Z,120,106.8196428019929,-30878.8963973277,-103100.5545333139,-8043.530034231408,401373.2888650946,150190321.1342963,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,261,2020-06-15T00:00:00Z,120,107.2304875820006,-35307.22122696138,-101464.7934908601,-8299.664025636597,402321.4255973728,150184634.0244265,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,262,2020-06-15T00:00:00Z,120,107.6413323620083,-39615.29279191968,-98180.78034487658,-8477.692243167879,403173.3707740576,150176479.1442352,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,263,2020-06-15T00:00:00Z,120,108.0521771420159,-43962.69209701694,-93291.28134253176,-8597.906457111778,403928.5952467901,150165814.7445181,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,264,2020-06-15T00:00:00Z,120,108.4630219220236,-48461.89002008447,-86871.14014457661,-8674.651917461902,404585.8959627532,150152613.556483,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,265,2020-06-15T00:00:00Z,120,108.8738667020313,-53171.14011743274,-79022.15837425899,-8715.992306803768,405143.3003376104,150136862.5643591,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,266,2020-06-15T00:00:00Z,120,109.2847114820389,-58088.95740678202,-69872.38406260598,-8723.666971082672,405598.0134972418,150118562.7486097,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,267,2020-06-15T00:00:00Z,120,109.6955562620466,-63151.77265781004,-59581.19201058077,-8693.560275565254,405946.4088077294,150097728.8025019,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,268,2020-06-15T00:00:00Z,120,110.1064010420543,-68238.83508465238,-48350.09395760274,-8617.086693234158,406184.0612021883,150074388.8265841,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,269,2020-06-15T00:00:00Z,120,110.5172458220619,-73189.68566512244,-36434.83835122114,-8483.819445881589,406305.8219686066,150048584.0073639,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,270,2020-06-15T00:00:00Z,120,110.9280906020696,-77835.23110329469,-24148.13375881308,-8284.993234938182,406305.9329064856,150020368.2880175,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,271,2020-06-15T00:00:00Z,120,111.3389353820773,-82031.98507480306,-11841.80340931751,-8016.388547394025,406178.177105928,149989808.0401319,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,272,2020-06-15T00:00:00Z,120,111.7497801620849,-85680.76858425984,130.3201756939621,-7678.890643972326,405916.0630676775,149956981.7461894,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,273,2020-06-15T00:00:00Z,120,112.1606249420926,-88720.11659706768,11451.68644156955,-7276.595778697429,405513.0384568124,149921979.7026463,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,274,2020-06-15T00:00:00Z,120,112.5714697221003,-91103.38551784858,21867.56056489979,-6814.104276421162,404962.7294662848,149884903.7529715,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,275,2020-06-15T00:00:00Z,120,112.9823145021079,-92775.84449677351,31192.05427775725,-6294.66236907,404259.2015289266,149845867.0588587,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,276,2020-06-15T00:00:00Z,120,113.3931592821156,-93661.00740181984,39305.27529281839,-5719.665700482186,403397.2369387977,149804993.9159687,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,277,2020-06-15T00:00:00Z,120,113.8040040621233,-93656.80359827381,46148.44878309113,-5089.211680234845,402372.6247794162,149762419.6179802,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,278,2020-06-15T00:00:00Z,120,114.2148488421309,-92638.77397138438,51720.84201809154,-4403.25011676619,401182.4583706881,149718290.3693953,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,279,2020-06-15T00:00:00Z,120,114.6256936221386,-90467.85827537176,56079.06532269157,-3663.050492646646,399825.4351918306,149672763.2434524,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,280,2020-06-15T00:00:00Z,120,115.0365384021462,-87001.72663014801,59337.65600964845,-2872.872673168114,398302.1538678551,149626006.1765922,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,281,2020-06-15T00:00:00Z,120,115.4473831821539,-82109.73101812736,61668.97122239697,-2041.806047373499,396615.4022836232,149578197.9852025,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,282,2020-06-15T00:00:00Z,120,115.8582279621616,-75692.15782845189,63299.60530078501,-1185.728043777579,394770.4301779468,149529528.3838049,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,283,2020-06-15T00:00:00Z,120,116.2690727421692,-67704.53938388746,64499.57766680618,-329.2248050437393,392775.1986516597,149480197.9764815,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,284,2020-06-15T00:00:00Z,120,116.6799175221769,-58187.23246392566,65559.8598971459,492.9116783888312,390640.5979015451,149430418.185266,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,285,2020-06-15T00:00:00Z,120,117.0907623021846,-47298.92180291188,66755.13311619153,1235.388917424396,388380.6231983713,149380411.0706524,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,286,2020-06-15T00:00:00Z,120,117.5016070821922,-35348.83752885469,68295.41206629343,1844.656445635013,386012.4977353374,149330408.9906828,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,287,2020-06-15T00:00:00Z,120,117.9124518621999,-22812.87030014822,70284.07254141902,2265.373885444798,383556.729608607,149280654.0368719,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,288,2020-06-15T00:00:00Z,120,118.3232966422076,-10303.4282240424,72708.15633161807,2451.540895284859,381037.0890477768,149231397.1783894,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,289,2020-06-15T00:00:00Z,120,118.7341414222152,1532.352076987513,75463.20028239826,2378.465076089622,378480.4913421401,149182897.0416835,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
