member_index,correction_type,curve_samples,previous_max_abs_z_km,max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,rho_rad,delta_rho_rad,mapping_time_days,mapping_time_error_days,mean_jacobi,map_residual_max,curve_jacobi_span,amplitude_residual,phase_residual,one_map_sweep_jacobi_drift,jacobi_ten_return_span,phase_return_error,condition_number,validation_status,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,strict_acceptance,passes_10500_gate,passes_11000_gate,failed_gates
27,FixedRotationCurveCorrection,45,12018.42786867017,12129.88849324627,111.4606245761061,1.448689880469736,1.44900393985301,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922201195704421,4.081678073047191e-13,1.003197525051291e-12,0,2.874300427389061e-18,1.003197525051291e-12,2.220446049250313e-15,1.074318712536916e-13,346566232.7715576,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
28,FixedRotationCurveCorrection,45,12129.88849324627,12240.39860996162,110.5101167153498,1.44900393985301,1.449317999236283,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922195801716405,5.077338246140728e-13,7.980283101005625e-13,0,-9.237953080992213e-19,7.993605777301127e-13,2.220446049250313e-15,1.393135396329246e-13,303296394.0520059,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
29,FixedRotationCurveCorrection,45,12240.39860996162,12349.97141614397,109.572806182352,1.449317999236283,1.449632058619557,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922190402473216,6.800968406318457e-13,1.079136779935652e-12,0,-1.281984365669384e-18,1.079580869145502e-12,4.440892098500626e-15,2.25562531493325e-13,263482127.0497997,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
30,FixedRotationCurveCorrection,45,12349.97141614397,12458.61803916099,108.6466230170172,1.449632058619557,1.449946118002831,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922184998004029,8.847626496041692e-13,6.004086117172847e-12,0,3.672734859294646e-18,6.005418384802397e-12,3.552713678800501e-15,2.124533126595467e-13,243914644.6791016,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
31,FixedRotationCurveCorrection,45,12458.61803916099,12566.3473364588,107.7292972978139,1.449946118002831,1.450260177386105,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.92217958833858,1.570625369300268e-12,3.994582442601313e-12,0,2.562062907207445e-18,3.995026531811163e-12,3.996802888650564e-15,2.235802963171064e-13,316698731.0752599,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
32,FixedRotationCurveCorrection,45,12566.3473364588,12673.16546258815,106.8181261293412,1.450260177386105,1.450574236769379,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.9221741735071,2.333302556696681e-12,4.448441615068077e-12,0,-9.235835498624077e-18,4.449773882697627e-12,3.552713678800501e-15,2.101692041569656e-13,164753308.4295157,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
33,FixedRotationCurveCorrection,45,12673.16546258815,12779.07577675412,105.9103141659725,1.450574236769379,1.450888296152652,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922168753540274,3.311346815246649e-12,3.084199562408685e-12,0,1.024465173880395e-17,3.085531830038235e-12,2.220446049250313e-15,3.551914760500288e-13,138476725.6928369,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
34,FixedRotationCurveCorrection,45,12779.07577675412,12884.0781379706,105.0023612164805,1.450888296152652,1.451202355535926,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922163328469193,4.159429466184896e-12,2.577049684759913e-12,0,-5.703919866810458e-18,2.577937863179613e-12,2.664535259100376e-15,3.990230085608757e-13,115283348.0466159,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
35,FixedRotationCurveCorrection,45,12884.0781379706,12988.16851828045,104.0903803098536,1.451202355535926,1.4515164149192,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922157898325334,5.672315502491447e-12,4.127809205556332e-12,0,-7.403703233713026e-18,4.128697383976032e-12,3.996802888650564e-15,4.965190751133138e-13,94992461.77932979,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
36,FixedRotationCurveCorrection,45,12988.16851828045,13091.33816345171,103.169645171256,1.4515164149192,1.451830474302474,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922152463140537,8.922947274058939e-12,8.502976100999149e-12,0,3.564102883809282e-18,8.504308368628699e-12,3.996802888650564e-15,6.710952778469585e-13,77408114.61458325,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
37,FixedRotationCurveCorrection,45,13091.33816345171,13193.57265586817,102.2344924164663,1.451830474302474,1.452144533685747,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922147022946991,1.361952545096828e-11,2.471489679578553e-11,0,-7.108724009831716e-19,2.471489679578553e-11,3.552713678800501e-15,9.645843745481575e-13,62320147.99099484,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
