time_index,curve_index,time_nd,time_days,phase_rad,x,y,z,xdot,ydot,zdot,jacobi,terminal_closure_norm,rotation_angle_rad,orbit_period_nd,mapping_time_days
0,10,0,0,4.188790204786391,0.8379215966629688,6.571167234367806e-08,-8.627274845774256e-06,4.137414858381377e-08,-0.008364550099668211,1.138433673029785e-05,3.188282637564038,,0.1760866711275833,2.691785117761035,11.68773098131841
0,11,0,0,4.607669225265029,0.8379215966877623,6.571188107729769e-08,-9.908958766579564e-06,4.15424139921826e-08,-0.008364550136323054,2.386352293333754e-06,3.188282637564039,,0.1760866711275833,2.691785117761035,11.68773098131841
0,12,0,0,5.026548245743669,0.8379215966790979,6.571189799705211e-08,-9.477293694215541e-06,4.174582062474274e-08,-0.008364550123561682,-7.024254038802489e-06,3.188282637564038,,0.1760866711275833,2.691785117761035,11.68773098131841
0,13,0,0,5.445427266222308,0.8379215966427019,6.571168561599156e-08,-7.406918477529511e-06,4.184979079370492e-08,-0.008364550069860673,-1.522030305058136e-05,3.188282637564033,,0.1760866711275833,2.691785117761035,11.68773098131841
0,14,0,0,5.864306286700947,0.8379215966026414,6.57114395952672e-08,-4.055819789660654e-06,4.178556944321688e-08,-0.008364550010633994,-2.078462349853842e-05,3.188282637564031,,0.1760866711275833,2.691785117761035,11.68773098131841
1,0,0.07690814622174384,0.3339351708948117,0,0.8379059793774714,-0.0006397681444099521,-1.744452268371542e-06,-0.0004051643242927676,-0.008229399838010212,-2.240381134145829e-05,3.188282637564031,,0.1760866711275833,2.691785117761035,11.68773098131841
1,1,0.07690814622174384,0.3339351708948117,0.4188790204786391,0.8379059793790526,-0.0006397681451163822,2.396479104939669e-06,-0.0004051645321975638,-0.008229399832069759,-2.20865551205719e-05,3.188282637564034,,0.1760866711275833,2.691785117761035,11.68773098131841
1,2,0.07690814622174384,0.3339351708948117,0.8377580409572781,0.8379059794114843,-0.0006397681489678194,6.123037479463247e-06,-0.0004051646629159041,-0.008229399875604672,-1.795033277269416e-05,3.188282637564037,,0.1760866711275833,2.691785117761035,11.68773098131841
1,3,0.07690814622174384,0.3339351708948117,1.256637061435917,0.8379059794532921,-0.0006397681533525292,8.790867013205879e-06,-0.0004051646298994656,-0.008229399939720298,-1.071033481421439e-05,3.188282637564039,,0.1760866711275833,2.691785117761035,11.68773098131841
1,4,0.07690814622174384,0.3339351708948117,1.675516081914556,0.8379059794768245,-0.0006397681553809511,9.938675746718458e-06,-0.0004051644550418378,-0.00822939998202294,-1.618422762267179e-06,3.188282637564039,,0.1760866711275833,2.691785117761035,11.68773098131841
1,5,0.07690814622174384,0.3339351708948117,2.094395102393195,0.8379059794665186,-0.0006397681537726091,9.367997168886834e-06,-0.0004051642540888118,-0.008229399974600198,7.75332922816122e-06,3.188282637564036,,0.1760866711275833,2.691785117761035,11.68773098131841
1,6,0.07690814622174384,0.3339351708948117,2.513274122871834,0.8379059794291777,-0.0006397681495656229,7.177506815550046e-06,-0.0004051641599660346,-0.008229399922310289,1.578446021739358e-05,3.188282637564032,,0.1760866711275833,2.691785117761035,11.68773098131841
1,7,0.07690814622174384,0.3339351708948117,2.932153143350473,0.837905979389506,-0.0006397681454888218,3.745960337983594e-06,-0.0004051642349329395,-0.008229399859687271,2.108631473429514e-05,3.188282637564031,,0.1760866711275833,2.691785117761035,11.68773098131841
1,8,0.07690814622174384,0.3339351708948117,3.351032163829113,0.8379059793737732,-0.0006397681442767997,-3.332967475310078e-07,-0.0004051644294394271,-0.008229399828238714,2.274215387104138e-05,3.188282637564033,,0.1760866711275833,2.691785117761035,11.68773098131841
1,9,0.07690814622174384,0.3339351708948117,3.769911184307752,0.8379059793923926,-0.0006397681467800354,-4.354923828617391e-06,-0.000405164614784504,-0.008229399848833916,2.046566790125965e-05,3.188282637564035,,0.1760866711275833,2.691785117761035,11.68773098131841
1,10,0.07690814622174384,0.3339351708948117,4.188790204786391,0.8379059794330258,-0.0006397681512947149,-7.623545001201228e-06,-0.0004051646682593222,-0.008229399907764187,1.465048196655595e-05,3.188282637564038,,0.1760866711275833,2.691785117761035,11.68773098131841
