member,time_index,curve_index,time_nd,time_days,phase_rad,x,y,z,xdot,ydot,zdot,jacobi,base_vertical_amplitude_nd,base_vertical_amplitude_km,planar_mode_amplitude_nd,rotation_angle_rad,mapping_time_days,terminal_closure_norm
0,0,10,0,0,5.711986642890533,0.8369067575627704,-1.929774111239892e-05,9.993243045388267e-05,-1.25634320640868e-05,7.022561432195378e-05,-1.04871121815852e-07,3.188341060505319,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,0,0.1204064894286791,0.5228049770993245,0,0.8369055729147155,9.945737522538399e-06,9.621587041003604e-05,6.462146924987877e-06,8.013577459119031e-05,-6.126034013026223e-05,3.18834106050532,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,1,0.1204064894286791,0.5228049770993245,0.5711986642890533,0.8369085928008458,2.69290342486577e-05,9.621568387823154e-05,1.75176811837001e-05,5.485912757675379e-05,-6.125711200468938e-05,3.188341060505334,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,2,0.1204064894286791,0.5228049770993245,1.142397328578107,0.8369136934393228,3.536213190246594e-05,9.621410860133966e-05,2.300438666458536e-05,1.216081926560906e-05,-6.125643403267525e-05,3.188341060505394,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,3,0.1204064894286791,0.5228049770993245,1.71359599286716,0.8369192549323838,3.256742696170784e-05,9.621165315133535e-05,2.11820972824923e-05,-3.440353853404757e-05,-6.125852845149741e-05,3.188341060505456,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,4,0.1204064894286791,0.5228049770993245,2.284794657156213,0.8369235116903165,1.943210835566999e-05,9.620909743618664e-05,1.263208185661898e-05,-7.004956991219687e-05,-6.126274847312926e-05,3.188341060505469,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,5,0.1204064894286791,0.5228049770993245,2.855993321445267,0.8369251128301989,1.265062506566807e-07,9.620724478318429e-05,6.928197230204825e-08,-8.345876560978331e-05,-6.126776219460953e-05,3.188341060505467,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,6,0.1204064894286791,0.5228049770993245,3.42719198573432,0.836923550333785,-1.92198124605406e-05,9.620667626318227e-05,-1.252000583402866e-05,-7.03732035266101e-05,-6.127196646270117e-05,3.188341060505463,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,7,0.1204064894286791,0.5228049770993245,3.998390650023373,0.8369193199812063,-3.246437164397282e-05,9.620757458648719e-05,-2.114113169689114e-05,-3.494823911316025e-05,-6.127400896640896e-05,3.188341060505428,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,8,0.1204064894286791,0.5228049770993245,4.569589314312426,0.8369137642830475,-3.540221747475095e-05,9.620966354573367e-05,-2.305659904364159e-05,1.156772737029617e-05,-6.127323796060652e-05,3.188341060505357,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,9,0.1204064894286791,0.5228049770993245,5.140787978601479,0.836908646928232,-2.71007395432167e-05,9.621228509642392e-05,-1.765554117570241e-05,5.440606854603742e-05,-6.126991324184986e-05,3.188341060505322,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,1,10,0.1204064894286791,0.5228049770993245,5.711986642890533,0.8369055930969564,-1.019569755574976e-05,9.621460229530298e-05,-6.65094669043989e-06,7.996685796374948e-05,-6.126510588273475e-05,3.18834106050532,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
0,2,0,0.2408129788573582,1.045609954198649,0,0.8369067158609189,1.907802772727897e-05,8.536358663916584e-05,1.23981306607989e-05,7.055564190052531e-05,-0.000117878257344256,3.18834106050532,0.0001,38.44,1e-05,0.1815444093369128,12.02451447328446,
