stage,curve_samples,member_index,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
N9-to-N15,15,13,3.1389,0.03057848807526503,2.815794979898417,12.22618180271893,0.4404815657070045,14.26435473433405,1.462974111200372e-12,2.059073356264207e-09,0.01345907869217136,9
N9-to-N15,15,14,3.1389,0.03160937821587351,2.81836264784937,12.23733061696196,0.4288236122057509,14.65214397794143,1.700876246078474e-12,1.404438787488971e-09,0.01345907869217136,9
N9-to-N15,15,15,3.1389,0.03263828223985214,2.820914204912183,12.2484094777287,0.4171122096009572,15.06353725102073,1.93355707060389e-12,3.781148727455275e-10,0.01345907869217136,9
N9-to-N15,15,16,3.1389,0.03366673026111495,2.823444787612073,12.25939726781162,0.4053641802150819,15.50009994431623,1.552691199113474e-12,4.45877113008919e-09,0.01345907869217136,9
N9-to-N15,15,17,3.1389,0.03469612539590235,2.825949648226489,12.27027337259941,0.3935967707430942,15.96350827603894,1.34454651304958e-12,1.310212249805431e-08,0.01345907869217136,10
N9-to-N15,15,18,3.1389,0.0357277374431331,2.828424219606247,12.28101796153032,0.3818275529077793,16.45555764462375,1.624694040351143e-11,3.057283626262119e-08,0.01345907869217136,10
N9-to-N15,15,19,3.1389,0.03676269725947117,2.830864200190578,12.29161235722749,0.3700742253641945,16.97817593483099,2.751359708510727e-10,6.437536503867136e-08,0.01345907869217136,9
N9-to-N15,15,20,3.1389,0.03780199280468461,2.833265653755202,12.30203946860509,0.3583543245165792,17.5334435147549,1.568131763618923e-11,1.289215885158512e-07,0.01345907869217136,11
N9-to-N15,15,21,3.1389,0.03884646761729856,2.835625116079895,12.3122842540189,0.3466848622135774,18.12362174414408,4.48049308982111e-11,2.479002092492522e-07,0.01345907869217136,11
N9-to-N15,15,22,3.1389,0.03937072160242137,2.836787844752406,12.31733282191495,0.3408757631100071,18.43247888865564,6.49352629298697e-11,3.389597535985445e-07,0.00672953934608568,8
N9-to-N15,15,23,3.1389,0.03989642964633142,2.837938850314569,12.32233048806586,0.3350862015650948,18.75095207690609,1.869407115898224e-10,4.597690330676585e-07,0.00672953934608568,6
N9-to-N15,15,24,3.1389,0.04052943602603564,2.839304547131059,12.32826034364306,0.3281654284474878,19.1463961847066,1.72095943516931e-10,6.594323358477538e-07,0.008075447215302815,8
N9-to-N15,15,25,3.1389,0.04116488394494839,2.840652985083896,12.33411526123428,0.3212765411732388,19.55693772173539,2.862641415239308e-10,9.461789889364525e-07,0.008075447215302815,8
N9-to-N15,15,26,3.1389,0.04180283537881831,2.841983866771105,12.33989394952014,0.3144223925696312,19.98326281989642,4.689656258383253e-10,1.345668663610411e-06,0.008075447215302815,8
N15-to-N21,21,0,3.1389,0.04116488394495164,2.840652452457642,12.33411294857108,0.321279268686184,19.55677169234599,5.023426542752165e-11,3.432399253711083e-09,nan,7
N15-to-N21,21,1,3.1389,0.0418028353788183,2.841982810575002,12.33988936351666,0.3144278456259964,19.98291625434876,2.823913447779861e-12,3.419503347146247e-09,nan,8
N15-to-N21,21,2,3.1389,0.04244222980748807,2.843293730555462,12.34558137807181,0.3076225723014924,20.42498136652212,1.772793668127263e-10,2.749256378109521e-09,0.008472358803587501,8
N15-to-N21,21,3,3.1389,0.04308320278957829,2.844584891880976,12.3511876005472,0.3008671392109947,20.88358776454234,1.871783986779923e-12,7.899285670021072e-10,0.008472358803587501,9
N15-to-N21,21,4,3.1389,0.04372574834899553,2.845856370885493,12.35670836238481,0.2941633986828109,21.35950745508822,1.065482333491405e-10,3.441622986599668e-09,0.008472358803587501,8
N15-to-N21,21,5,3.1389,0.04436985395262472,2.847108357799833,12.36214448956687,0.2875127882001172,21.8535855274942,2.256305065668026e-12,1.146274275498627e-08,0.008472358803587501,9
N15-to-N21,21,6,3.1389,0.0450155012234121,2.848341149652483,12.36749727179108,0.2809163362777564,22.36674944018591,4.77135499621811e-11,2.595147785555696e-08,0.008472358803587501,9
N15-to-N21,21,7,3.1389,0.04566266594150093,2.849555141030581,12.37276842235478,0.2743746799402235,22.90001872092741,2.65655835153652e-12,5.07546014105742e-08,0.008472358803587501,9
N15-to-N21,21,8,3.1389,0.0463113177360777,2.850750813684042,12.37796003301611,0.267888088056651,23.45451547607023,5.909166359318841e-12,9.163996139704977e-08,0.008472358803587501,10
N15-to-N21,21,9,3.1389,0.0469614194984149,2.851928725403364,12.3830745257014,0.261456489523602,24.03147582463199,1.105782420060953e-11,1.5717808610205e-07,0.008472358803587501,10
N15-to-N21,21,10,3.1389,0.04761292651349702,2.853089498402717,12.3881146020646,0.2550795053630417,24.63226239300193,2.066233927843189e-11,2.59902509291976e-07,0.008472358803587501,11
N15-to-N21,21,11,3.1389,0.04826578531751621,2.854233807447428,12.39308319193673,0.248756483875041,25.25837803020181,3.659169477205396e-11,4.179347126154198e-07,0.008472358803587501,14
N15-to-N21,21,12,3.1389,0.04891993228881998,2.855362367919107,12.39798340150476,0.2424865381013151,25.91148092746642,7.409774932159594e-11,6.572058293130567e-07,0.008472358803587501,21
N15-to-N21,21,13,3.1389,0.04957529197634802,2.856475923964906,12.40281846185562,0.2362685850116722,26.59340134816985,9.702191578572283e-11,1.014472390981069e-06,0.008472358803587501,26
N15-to-N21,21,14,3.1389,0.05023177517127915,2.857575236839482,12.40759167835703,0.2301013859647721,27.30616019905906,1.406026957737183e-10,1.54138123642511e-06,0.008472358803587501,29
