eigen_index,classification,real,imag,magnitude,angle_rad,target_jacobi,mean_jacobi,curve_jacobi_span,curve_residual_norm,spectral_samples,dg_dimension,mapping_time_days,rotation_angle_rad,determinant,max_multiplier,stability_index,paper_stability_index,stability_index_error,paper_implied_unstable_radius
209,unstable,1.2209910122517926,-0.1443748685146078,1.2294971145384066,-0.11769750139069114,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
210,unstable,-0.6358626995819046,1.05227630763118,1.2294741966879572,2.1143521914845613,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
211,unstable,-0.6358626995819046,-1.05227630763118,1.2294741966879572,-2.1143521914845613,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
212,unstable,1.0495491594807436,0.6403283745402145,1.2294608027131442,0.5478118029704793,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
213,unstable,1.0495491594807436,-0.6403283745402145,1.2294608027131442,-0.5478118029704793,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
214,unstable,-0.3728073147583887,-1.1715591408574508,1.2294454499749097,-1.878878946463874,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
215,unstable,-0.3728073147583887,1.1715591408574508,1.2294454499749097,1.878878946463874,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
216,unstable,-0.20984457990483774,1.2113789465404747,1.229420066469125,1.742321994356002,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
217,unstable,-0.20984457990483774,-1.2113789465404747,1.229420066469125,-1.742321994356002,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
218,unstable,-0.9129752782635143,0.8233567794065993,1.2294064604170376,2.4077624175422514,3.044,3.043999999999825,1.058200194137271e-09,1.1903675474996596e-09,93,558,14.535033977337037,0.6655211628675557,0.999999999968546,213.88950246617122,106.9470888887173,1.3837,105.5633888887173,2.3400606485003443
