kind,sample,phase,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,jacobi,departure_phase,arrival_phase,time_of_flight_days,departure_delta_v_m_s,arrival_delta_v_m_s,total_delta_v_m_s,endpoint_position_error_km,maximum_continuity_error,minimum_moon_radius_km,jacobi_span,boundary_jacobi_difference,halo_stability_index,halo_periodicity_error,lyapunov_periodicity_error
transfer,116,,67.75124999999998,1.075916331739882,0.0309843334770753,-0.07253830359768076,-0.02398694080503827,0.2739802770173934,-0.02617646443371927,3.098812316145162,,,,,,,,,,,,,,
transfer,117,,68.33531249999999,1.074368486832385,0.06563200922278625,-0.07110839694063444,0.003058961673473783,0.2370907697914221,0.04426132984080504,3.098812316145162,,,,,,,,,,,,,,
transfer,118,,68.91937499999999,1.077060032028496,0.09400639463872967,-0.06155893725410508,0.03729471526691542,0.182945970382499,0.09435654125853173,3.098812316145162,,,,,,,,,,,,,,
transfer,119,,69.5034375,1.084308549211038,0.1145294204024626,-0.04653953987745772,0.06958559261358031,0.1214921841563149,0.1262972087253374,3.098812316145163,,,,,,,,,,,,,,
transfer,120,,70.08749999999999,1.095441368703664,0.1265922360192967,-0.02820221272021145,0.09440518948607166,0.05777305981042402,0.1443509793944366,3.098812316145162,,,,,,,,,,,,,,
transfer,121,,70.67156250000001,1.109248991165123,0.1301124991099646,-0.008174694942542951,0.109081719173347,-0.005056047987950635,0.1518900611895574,3.09881231614533,,,,,,,,,,,,,,
transfer,122,,71.25562500000001,1.124290069405109,0.1253924274296757,0.01229302340931326,0.1127015221704953,-0.06430919574325682,0.1512063560681343,3.09881231614533,,,,,,,,,,,,,,
transfer,123,,71.8396875,1.139083862125678,0.1130881363726865,0.0322065512552987,0.1055325844763026,-0.117395858073216,0.1438708141330414,3.09881231614533,,,,,,,,,,,,,,
transfer,124,,72.42375,1.152250550637654,0.09419597731045345,0.05075319617309011,0.0887808344397432,-0.1618754942354003,0.1310593212059858,3.09881231614533,,,,,,,,,,,,,,
transfer,125,,73.0078125,1.162627506761847,0.07001861924703018,0.06726465544674923,0.06444455435252876,-0.195677304839576,0.1137704083542158,3.09881231614533,,,,,,,,,,,,,,
transfer,126,,73.591875,1.169364079065834,0.04209775738454992,0.0812021528397298,0.03512477342977895,-0.2173591517490321,0.09294347189400641,3.09881231614533,,,,,,,,,,,,,,
transfer,127,,74.1759375,1.171984668731668,0.01211508058021476,0.09215155303808943,0.003742837089642174,-0.2263044400146568,0.069491720336067,3.09881231614533,,,,,,,,,,,,,,
transfer,128,,74.75999999999999,1.170409196894117,-0.01822428793488819,0.0998184369677373,-0.02679891454520848,-0.2227759852452278,0.04427402009339038,3.09881231614533,,,,,,,,,,,,,,
transfer,129,,75.34406249999999,1.164928836021583,-0.04730421915738898,0.1040173822422545,-0.05392761586549163,-0.2078029509162244,0.01804390719120534,3.09881231614533,,,,,,,,,,,,,,
transfer,130,,75.92812499999999,1.156146428458007,-0.07368582558462292,0.1046550684360193,-0.07560554368648012,-0.1829464463212621,-0.008585951056531141,3.09881231614533,,,,,,,,,,,,,,
transfer,131,,76.5121875,1.144897899765633,-0.09616047420216606,0.1017109197114098,-0.09040827827473039,-0.1500231770296952,-0.03514335115959458,3.09881231614533,,,,,,,,,,,,,,
transfer,132,,77.09625,1.13217026755216,-0.1137664948354383,0.0952202889150834,-0.0975050879059919,-0.1108488477560266,-0.06126039158998492,3.098812316145329,,,,,,,,,,,,,,
transfer,133,,77.6803125,1.119025863662801,-0.1257739161338825,0.08526444437863512,-0.09659586147126004,-0.06701835453341538,-0.0866094877398185,3.09881231614533,,,,,,,,,,,,,,
transfer,134,,78.264375,1.106534653831386,-0.1316409145397529,0.07197108206004531,-0.08786415079827048,-0.01969827037763134,-0.1108082750719624,3.09881231614533,,,,,,,,,,,,,,
transfer,135,,78.84843749999999,1.095707789053408,-0.1309404985987437,0.05553158518041523,-0.07202163798602169,0.03061699987074106,-0.1332541963938043,3.09881231614533,,,,,,,,,,,,,,
transfer,136,,79.43249999999999,1.087411755944429,-0.1232496636099946,0.03625155818550659,-0.05058581463981372,0.084418758627367,-0.1527616614012468,3.09881231614533,,,,,,,,,,,,,,
transfer,137,,80.01656249999999,1.082213826945213,-0.1079980024833311,0.01468057383325767,-0.02669146814086295,0.1434049780538444,-0.1666630433732615,3.09881231614533,,,,,,,,,,,,,,
transfer,138,,80.60062499999999,1.080059181000985,-0.08434682376597021,-0.008064585146514034,-0.00680899121289074,0.2094235654837555,-0.1687078074195121,3.098812316145331,,,,,,,,,,,,,,
transfer,139,,81.1846875,1.079714795805239,-0.05151925959819009,-0.02961488847409796,-0.001717602512434285,0.2777314330353903,-0.1462760481496635,3.098812316145331,,,,,,,,,,,,,,
transfer,140,,81.76875,1.078679217664082,-0.01065361715227024,-0.04573789725812862,-0.01589858583745611,0.3226573666476468,-0.08752965416792399,3.098812316145341,,,,,,,,,,,,,,
transfer,141,,82.35281249999998,1.075587168017918,0.03277170635265224,-0.05225811137036644,-0.02673372168789459,0.3136096854404533,-0.009464915971003272,3.09881231614533,,,,,,,,,,,,,,
transfer,142,,82.93687499999999,1.072684829594719,0.07185426632883692,-0.04902793614771397,-0.0121981384351289,0.2634148489645423,0.0532581278464468,3.098812316145332,,,,,,,,,,,,,,
transfer,143,,83.52093749999999,1.073097723930699,0.1031000463667122,-0.03906177601967243,0.01992993382299181,0.2004706738898953,0.09122528177739334,3.098812316145332,,,,,,,,,,,,,,
transfer,144,,84.10499999999998,1.078186377665794,0.1257434408661934,-0.02529469049955176,0.05542227884194929,0.1362815217294738,0.1110870242369342,3.098812316145331,,,,,,,,,,,,,,
transfer,145,,84.68906249999999,1.087783540394109,0.1398030641175146,-0.009688630726382432,0.08605299969911896,0.07293786040586672,0.119421553360152,3.098812316145297,,,,,,,,,,,,,,
transfer,146,,85.27312499999999,1.100945706489961,0.1454241291728648,0.006493455345042374,0.108018926100173,0.01091549679808948,0.1201224363946735,3.098812316145297,,,,,,,,,,,,,,
transfer,147,,85.85718749999999,1.116378658755211,0.1428407899632483,0.02238303100252666,0.1196456011250054,-0.04882788434552098,0.1153350570623426,3.098812316145297,,,,,,,,,,,,,,
transfer,148,,86.44125,1.132643691724484,0.1324625529656418,0.03733172802020249,0.1203654637577805,-0.1046622722169955,0.1062907631677693,3.098812316145297,,,,,,,,,,,,,,
transfer,149,,87.0253125,1.148280371866528,0.1149529995235949,0.05082270015971237,0.1104025133954903,-0.1544805478393999,0.09376870488779046,3.098812316145298,,,,,,,,,,,,,,
transfer,150,,87.609375,1.161908906619552,0.09127679203023795,0.06242837071251318,0.09073551045356509,-0.1959598432649253,0.07834854659335308,3.098812316145297,,,,,,,,,,,,,,
transfer,151,,88.1934375,1.172333471472671,0.06270891498261498,0.0717944923955068,0.06312265484201703,-0.2268631493696022,0.06055995473564527,3.098812316145297,,,,,,,,,,,,,,
transfer,152,,88.77749999999999,1.178645487346662,0.03080056226981762,0.07863976809677149,0.03005889232801845,-0.245378496694739,0.0409670368495689,3.098812316145297,,,,,,,,,,,,,,
transfer,153,,89.36156249999999,1.180311974434401,-0.002700454642193231,0.08276282485692275,-0.005410917913909447,-0.2504419763169048,0.02019324856237643,3.098812316145297,,,,,,,,,,,,,,
transfer,154,,89.94562499999999,1.177228403644683,-0.03596613274817353,0.08404873809367912,-0.04002590261579904,-0.2419445570662421,-0.001107995608775538,3.098812316145297,,,,,,,,,,,,,,
transfer,155,,90.52968749999999,1.169721070886143,-0.06721962033045946,0.08246920000318254,-0.07070592439620783,-0.2207385509859789,-0.02231265379464988,3.098812316145297,,,,,,,,,,,,,,
transfer,156,,91.11375,1.158498987736685,-0.09485331760852445,0.07807483849717832,-0.09488542050471245,-0.188442346311959,-0.04287702683567919,3.098812316145296,,,,,,,,,,,,,,
