family,orbit_index,correction_type,spectral_samples,target_frequency_ratio,rotation_angle_rad,target_jacobi,base_z0,base_jacobi,mapping_time_nd,mapping_time_days,jacobi,y_amplitude_km,z_amplitude_km,closure_error,jacobi_span,curve_residual,curve_jacobi_span,max_jacobian_condition
quasi_vertical,6,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.891735053469757,16.89791360216568,3.0435980485065,11977.55362392475,75079.65808528051,4.124327285312935e-10,4.25481871957345e-12,4.126252901207379e-10,4.2534864519439e-12,3472540.229359206
quasi_vertical,7,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.892265173177171,16.90021538193528,3.043494486109124,12312.26253038667,75165.27449809655,1.445469323847671e-12,1.350519696075025e-11,7.380389443676772e-13,1.35038646931207e-11,2780823.223568314
quasi_vertical,8,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.89292217805794,16.90306809712758,3.043366301258537,12646.60698563299,75257.42354429739,8.065470970592655e-10,3.430988826380599e-11,8.064717284200014e-10,3.430988826380599e-11,2331171.166119075
quasi_vertical,9,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.893881261363203,16.90723243683902,3.04317950595519,13046.6312350233,75376.6157768275,2.395642022797668e-09,8.600542500403208e-11,2.395961429488604e-09,8.600320455798283e-11,1967978.831245812
quasi_vertical,10,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.895284637718267,16.91332589697272,3.04290687005202,13523.75563240188,75532.09088930277,9.034188813170917e-13,2.133146992377988e-10,1.192534363965225e-12,2.133142551485889e-10,1678320.211253387
quasi_vertical,11,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.896972367851953,16.92065402121318,3.042580067232014,13995.75379938066,75701.12419221469,7.58991886895584e-13,4.517852758567642e-10,1.041296267216268e-12,4.517839435891347e-10,1479773.199384706
quasi_vertical,12,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.898954998683596,16.92926260428417,3.042197637127815,14491.5197344175,75883.66284796904,1.615766611202011e-12,8.517866412205422e-10,1.74466959986374e-12,8.517853089529126e-10,1339128.827001464
quasi_vertical,13,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.901742524328741,16.94136604063539,3.041662593014737,15101.26983741773,76120.60983057761,3.746362331183764e-12,1.624284706736034e-09,3.944307567947139e-12,1.624283374468405e-09,1223961.284297849
quasi_vertical,14,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.905711061311009,16.9585974282124,3.0409060466139,15814.60407902407,76430.67702079767,1.533997757283981e-10,3.069901666208352e-09,1.531993243600357e-10,3.069900333940723e-09,1138878.777113166
quasi_vertical,15,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.911429166455912,16.98342544075157,3.039826266570827,16597.74177851709,76838.45257290233,1.457591164436921e-12,5.566579641680391e-09,1.799089316099228e-12,5.566579197591182e-09,1092260.292607883
quasi_vertical,16,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.918202727335866,17.01283624209233,3.038562113593897,17259.32471194283,77278.38437343015,5.325786921418449e-10,8.498139081325462e-09,5.320928491272847e-10,8.498137304968623e-09,1083209.886536078
quasi_vertical,17,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.927571553787406,17.05351568654492,3.036838510432527,17811.59586179084,77827.59485427606,1.454015105290477e-09,1.116620662600099e-08,1.454415012017255e-09,1.116620484964415e-08,1113875.170700242
quasi_vertical,18,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.939742937807382,17.10636383595965,3.034638747321784,17988.53163176333,78453.75943819618,1.678108314396192e-10,1.057913356916629e-08,1.673027338071516e-10,1.057913312507708e-08,1202181.331282311
quasi_vertical,19,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.950830185413098,17.15450466506367,3.032669786436158,17596.19602863712,78938.02134033749,2.204172801027096e-10,6.551789777375916e-09,2.201432493402205e-10,6.551788889197496e-09,1211168.842565233
quasi_vertical,20,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.959506091579389,17.19217544963771,3.031149874237404,16801.65877693307,79244.80281432618,8.757865346741828e-11,2.795238263075817e-09,8.748372123225449e-11,2.795237374897397e-09,1224451.950177248
quasi_vertical,21,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.965885404989594,17.21987442846481,3.030042954417833,15842.30755603674,79405.33363667909,4.788423531112911e-11,8.017133623638983e-10,4.80567797447891e-11,8.017124741854786e-10,1393287.181235244
quasi_vertical,22,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.970279415134752,17.23895322051509,3.02928542247339,14838.41513332931,79448.39858195375,5.889768726277397e-10,1.247504322066106e-10,5.891709323705643e-10,1.247486558497712e-10,4842869.504848831
quasi_vertical,23,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.972899237477027,17.25032848912525,3.028835576144901,13733.48751675321,79391.89136469782,9.556379684468403e-13,5.172307027123679e-12,6.991369609456395e-13,5.170530670284279e-12,26336135.68755917
quasi_vertical,24,FixedFrequencyPseudoArclengthCorrection,9,9.441000000000001,0.6655211637728615,,0.1957155227661133,3.043770929373923,3.973580838855698,17.25328800231144,3.028718755210738,13156.54505119503,79330.22207412365,1.383827882950983e-11,2.637889906509372e-13,1.321434609826011e-11,2.615685446016869e-13,9112357.965786172
