curve_index,time_index,time_nd,time_days,x,y,z,xdot,ydot,zdot,jacobi,curve_jacobi_span,moon_distance_nd,perturbation_sign,perturbation_scale,duration_periods,eigenvalue_abs
1,1,0.02896808846087468,0.1257794400971178,0.8369079372493606,2.481306296982454e-05,9.971364557784315e-05,1.604701290161142e-05,6.012707147949859e-05,-1.498359531600026e-05,3.188341060505348,1.953992523340276e-14,0.1509415121164846,-1,1e-07,2.5,3360.637129803173
2,1,0.02896808846087468,0.1257794400971178,0.8369140619388473,3.555982980771269e-05,9.971119648084475e-05,2.303936732880704e-05,8.856461572769309e-06,-1.498133100383272e-05,3.188341060505432,1.687538997430238e-14,0.1509353895761076,-1,1e-07,2.5,3360.637129803173
3,1,0.02896808846087468,0.1257794400971178,0.8369206788534087,2.967442607387422e-05,9.970829940933869e-05,1.920512882660069e-05,-4.654629212800719e-05,-1.498317679765707e-05,3.188341060505473,1.643130076445232e-14,0.1509287713893688,-1,1e-07,2.5,3360.637129803173
4,1,0.02896808846087468,0.1257794400971178,0.8369246923389033,9.910432931938862e-06,9.97063039717643e-05,6.342371696128814e-06,-8.01566139961512e-05,-1.498829831548007e-05,3.188341060505472,1.865174681370263e-14,0.1509247553116387,-1,1e-07,2.5,3360.637129803173
5,1,0.02896808846087468,0.1257794400971178,0.8369242253985208,-1.448428871417937e-05,9.970612934184618e-05,-9.531702372059011e-06,-7.62460758748996e-05,-1.49942950542164e-05,3.188341060505466,1.820765760385257e-14,0.1509252226214493,-1,1e-07,2.5,3360.637129803173
6,1,0.02896808846087468,0.1257794400971178,0.836919496409898,-3.209484799129796e-05,9.970785814677277e-05,-2.099398808724166e-05,-3.664493024690594e-05,-1.499833032089396e-05,3.18834106050541,1.820765760385257e-14,0.1509299543275954,-1,1e-07,2.5,3360.637129803173
7,1,0.02896808846087468,0.1257794400971178,0.8369127171047077,-3.46810942500922e-05,9.971069632836702e-05,-2.268128163508418e-05,2.011506164978758e-05,-1.499850927915611e-05,3.188341060505337,2.087219286295294e-14,0.1509367342051189,-1,1e-07,2.5,3360.637129803173
8,1,0.02896808846087468,0.1257794400971178,0.8369070593554795,-2.10331345324533e-05,9.971332005699295e-05,-1.379955463829778e-05,6.747512926803248e-05,-1.49947768486097e-05,3.188341060505325,1.687538997430238e-14,0.1509423894359026,-1,1e-07,2.5,3360.637129803173
0,2,0.05793617692174936,0.2515588801942357,0.8369052373237555,4.86781481361556e-06,9.906534197799897e-05,3.050377370713519e-06,8.270445551344673e-05,-2.981300509570255e-05,3.188341060505325,1.820765760385257e-14,0.1509442096536229,-1,1e-07,2.5,3360.637129803173
1,2,0.05793617692174936,0.2515588801942357,0.836908417981317,2.649688575781398e-05,9.906464666954304e-05,1.713060165286712e-05,5.608237862251772e-05,-2.980814234542525e-05,3.188341060505348,1.953992523340276e-14,0.1509410312434917,-1,1e-07,2.5,3360.637129803173
2,2,0.05793617692174936,0.2515588801942357,0.8369147310691946,3.573500873104624e-05,9.90622517378178e-05,2.314060152834027e-05,3.233659216315784e-06,-2.980667294197843e-05,3.188341060505432,1.687538997430238e-14,0.1509347200599845,-1,1e-07,2.5,3360.637129803173
3,2,0.05793617692174936,0.2515588801942357,0.8369212218773107,2.825936489668054e-05,9.905928976578175e-05,1.827158858999357e-05,-5.111428960490966e-05,-2.980930114525469e-05,3.188341060505473,1.643130076445232e-14,0.1509282276666479,-1,1e-07,2.5,3360.637129803173
4,2,0.05793617692174936,0.2515588801942357,0.8369248538693939,7.567659244789359e-06,9.905713989936387e-05,4.805506575272829e-06,-8.153020840918454e-05,-2.981482518854651e-05,3.188341060505473,1.865174681370263e-14,0.1509245932180638,-1,1e-07,2.5,3360.637129803173
