target_jacobi,best_evidence_source,audit_status,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9221,projection_row_4,strict_fixed_time,0,0.0,0.7987068768431053,-0.0694354590742735,-0.000872078801597896,-0.08335025220013526,0.5085622814286629,-0.05787343361592921,2.922099999986913,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,1,0.11023132117858923,0.7983988427429197,-0.0690583188961711,0.0028159107590159218,-0.08321397372133633,0.5089511724207846,-0.05765880591256587,2.922099999986319,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,2,0.22046264235717847,0.7982838773909955,-0.06879168652700691,0.006433457216624792,-0.08332149462184965,0.509112586460388,-0.05666072901725635,2.922099999986379,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,3,0.3306939635357677,0.7983468370262016,-0.06854092747396677,0.009953016156202676,-0.08357089861345728,0.509108018832864,-0.05486814941649341,2.922099999986967,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,4,0.44092528471435694,0.7985726326349426,-0.06819800478006648,0.013349556679764653,-0.08385158639466284,0.5090004939210889,-0.05229598192761592,2.9220999999877972,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,5,0.5511566058929461,0.7989496913999233,-0.06768263073846582,0.016603498515745475,-0.08407269596949407,0.5088344938568264,-0.048983107810594534,2.9220999999885264,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,6,0.6613879270715354,0.799469659428996,-0.0669734309755481,0.01970119773499867,-0.08418397552310085,0.5086237237462786,-0.04498832494473587,2.9220999999889803,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,7,0.7716192482501246,0.8001238775511371,-0.06611862043602293,0.022631538954276897,-0.08418478595222895,0.5083509435490104,-0.04038577845831129,2.922099999989143,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,8,0.8818505694287139,0.8008983157397493,-0.06522429861968304,0.025379664721888805,-0.08412046072060678,0.5079792482733382,-0.0352605801920223,2.9220999999891,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,9,0.9920818906073031,0.8017691323728299,-0.06442638123467088,0.02792070085846721,-0.08406783352885533,0.5074696831906661,-0.029704686865850927,2.922099999988922,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,10,1.1023132117858923,0.8027007086442569,-0.06385613278677824,0.030216458126579495,-0.08411343072510764,0.5067984440733423,-0.023813126573963273,2.9220999999887427,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,11,1.2125445329644815,0.8036471009728232,-0.06360946552525118,0.032216674432185774,-0.08432950430120474,0.5059682687779758,-0.017680913990921233,2.9220999999886144,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,12,1.3227758541430708,0.8045566730040143,-0.06372816520122818,0.03386436099157453,-0.08475454081229604,0.5050114467697648,-0.011400833571586427,2.922099999988499,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,13,1.43300717532166,0.8053785032097327,-0.06419758543379404,0.03510324508674362,-0.08538439645155319,0.5039847012679607,-0.0050617281325913395,2.9220999999882586,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,14,1.5432384965002492,0.8060683905627283,-0.06495999783197459,0.03588478489981366,-0.08617635895865196,0.5029584528497916,0.001253292650470233,2.922099999987869,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,15,1.6534698176788385,0.806592341174568,-0.06593669351008344,0.036172861498617856,-0.08706238748025766,0.5020045897296973,0.007468767904887231,2.9220999999874255,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,16,1.7637011388574277,0.8069265563323431,-0.06704816349513884,0.03594563802047954,-0.08796350298823749,0.5011873413852638,0.013518186784654742,2.922099999987209,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,17,1.873932460036017,0.8070548159697355,-0.06822330091027232,0.03519546824230406,-0.08879837280535353,0.5005602479179887,0.01934389817858,2.922099999987565,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,18,1.9841637812146062,0.8069657348241372,-0.06939564602276907,0.03392837750136355,-0.08948516297478672,0.5001685050314387,0.024895813492925963,2.922099999988774,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,19,2.0943951023931953,0.8066525748616346,-0.0704933295951431,0.0321641961483874,-0.08994225039491492,0.5000520421715722,0.030130111770101657,2.922099999990741,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,20,2.2046264235717845,0.8061167911503231,-0.07143365718227788,0.029937253259170547,-0.09009512789057644,0.5002436117412761,0.035009014905693074,2.922099999992909,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,21,2.3148577447503738,0.8053739932778183,-0.07213003003210518,0.027296505870616116,-0.08989207152305748,0.5007594894489802,0.03950127928488215,2.9220999999945154,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,22,2.425089065928963,0.8044590393716158,-0.07251070230354487,0.02430378845718923,-0.08932352754358612,0.5015861665871331,0.04358166194867753,2.92209999999508,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,23,2.5353203871075523,0.8034268835623096,-0.07254146197739968,0.02102955079648014,-0.08843562124061996,0.5026705139802982,0.04722772945728162,2.9220999999946367,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,projection_row_4,strict_fixed_time,24,2.6455517082861415,0.8023476521032838,-0.07224180057485892,0.017546562018603693,-0.08732978535603834,0.503920311904884,0.05041411668242673,2.922099999993531,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
