kind,case,sample,phase,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,perilune_radius_km,stability_index,periodicity_error,time_of_flight_days,departure_delta_v_m_s,arrival_delta_v_m_s,total_delta_v_m_s,endpoint_position_error_km,minimum_moon_radius_km,jacobi_span,arrival_offset_hours,delta_v_difference_m_s
reverse_transfer,2,89,0.25,3.074094707520892,1.054852395823819,0.0008342894306039661,0.1948823394242818,-0.01698637481201012,-0.1331833607435859,-0.07305007311925971,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,90,0.25,3.108635097493037,1.054713132647832,-0.0002240983476569104,0.1942878829958611,-0.01802747994088447,-0.1329076604413468,-0.07640728873357355,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,91,0.25,3.143175487465181,1.054565566252372,-0.001280187665889454,0.1936666809146612,-0.01907393752457229,-0.1326054436928593,-0.07977441922199278,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,92,0.25,3.177715877437326,1.054409654006119,-0.002333766426369597,0.1930186527103058,-0.02012576120673151,-0.1322764163446488,-0.08315186855211543,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,93,0.25,3.212256267409471,1.054245353160322,-0.003384620135123778,0.192343714645628,-0.02118296688935324,-0.1319202699966577,-0.08654005420052364,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,94,0.25,3.246796657381616,1.0540726208303,-0.004432531786189309,0.1916417796062551,-0.02224557286970784,-0.1315366813893308,-0.08993940790191698,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,95,0.25,3.281337047353761,1.053891413975803,-0.005477281740820077,0.190912756984067,-0.02331359998820169,-0.1311253117450783,-0.09335037644039272,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,96,0.25,3.315877437325905,1.053701689380155,-0.006518647601260392,0.1901565525541831,-0.02438707178802888,-0.1306858060607131,-0.09677342248598793,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,97,0.25,3.35041782729805,1.053503403628081,-0.00755640407868357,0.1893730683451033,-0.02546601468759007,-0.1302177923471355,-0.1002090254798576,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,98,0.25,3.384958217270195,1.053296513082099,-0.008590322854858659,0.1885622025016015,-0.02655045816674151,-0.1297208808121871,-0.1036576825717324,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
reverse_transfer,2,99,0.25,3.41949860724234,1.053080973857376,-0.009620172437076444,0.1877238491399409,-0.02764043496804224,-0.1291946629822031,-0.1071199096136089,,,,12.4,55.06833841488415,31.49730704446592,86.56564545935007,9.163838745696234e-06,6095.437530735745,1.675548588764286e-11,,
