sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
663,319.4642948101576,0.9915611951766968,-0.004216848699419786,0.005003210413272166,-0.002507257287796273,-0.0009516469964617984,0.001292668468452283,1597104.733198381,3.000730353763387
664,319.9461414086647,0.9915401895262002,-0.00422420256516504,0.00501332515564386,-0.002561018533508673,-0.0008226790100542597,0.001147968305537263,1600731.474174688,3.000730353763386
665,320.4279880071717,0.9915187418989561,-0.004230485557189547,0.005022242177607529,-0.002613894486026763,-0.0006932605916886894,0.00100367455652667,1604263.499117912,3.000730353763386
666,320.9098346056787,0.9914968597976359,-0.004235694017668005,0.005029964900742261,-0.002665845569303277,-0.0005634101108291855,0.0008597999360687675,1607700.237320286,3.000730353763386
667,321.3916812041857,0.9914745510493556,-0.004239824443444663,0.005036496850940405,-0.002716833072783844,-0.0004331465192705858,0.0007163569039648212,1611041.190910258,3.000730353763386
668,321.8735278026928,0.9914518237985508,-0.004242873490891178,0.00504184165641445,-0.00276681913924311,-0.0003024893584993653,0.0005733576937313892,1614285.93386537,3.000730353763386
669,322.3553744011998,0.9914286864999547,-0.004244837980822515,0.005046003045935409,-0.002815766752905197,-0.0001714587663450465,0.0004308143399082619,1617434.111044445,3.000730353763387
670,322.8372209997067,0.9914051479116708,-0.00424571490346517,0.005048984847292554,-0.002863639727908776,-4.007548295908121e-05,0.0002887387041683403,1620485.437238968,3.000730353763387
671,323.3190675982138,0.9913812170883399,-0.004245501423472279,0.005050790985964791,-0.002910402697172265,9.163914384440264e-05,0.0001471425002842448,1623439.696242804,3.000730353763387
672,323.8009141967208,0.9913569033743989,-0.004244194884980464,0.005051425483994427,-0.002956021101709694,0.0002236631538545607,6.037318004336297e-06,1626296.739939535,3.000730353763386
673,324.2827607952279,0.9913322163974244,-0.004241792816703502,0.005050892459054501,-0.003000461180442914,0.0003559739703076457,-0.000134565354110919,1629056.487406592,3.000730353763387
674,324.7646073937349,0.9913071660615599,-0.004238292937058142,0.005049196123701254,-0.003043689960552154,0.0004885483962828721,-0.000274654106843813,1631718.92403532,3.000730353763386
675,325.2464539922419,0.9912817625410199,-0.00423369315931759,0.005046340784803731,-0.003085675248402704,0.0006213626116267296,-0.0004142175894185921,1634284.10066577,3.000730353763386
676,325.7283005907489,0.9912560162736666,-0.004227991596788365,0.005042330843142861,-0.003126385621082478,0.0007543921703851581,-0.0005532444895007557,1636752.132735402,3.000730353763386
677,326.210147189256,0.9912299379546547,-0.004221186568006409,0.005037170793172741,-0.003165790418581123,0.0008876119987254675,-0.0006917235140542553,1639123.199440273,3.000730353763386
678,326.691993787763,0.991203538530138,-0.004213276601948434,0.005030865222937169,-0.00320385973664004,0.001020996393332119,-0.0008296433710163383,1641397.54290769,3.000730353763386
679,327.17384038627,0.9911768291910318,-0.004204260443254657,0.005023418814134821,-0.003240564420297338,0.001154519020263545,-0.0009669927517526347,1643575.467378906,3.000730353763387
680,327.655686984777,0.9911498213668272,-0.004194137057459139,0.005014836342326735,-0.003275876058152037,0.001288152914259021,-0.001103760314256694,1645657.338400607,3.000730353763387
681,328.1375335832841,0.9911225267194483,-0.004182905636224022,0.005005122677280096,-0.003309766977367326,0.001421870478487275,-0.001239934667060738,1647643.582023836,3.000730353763386
682,328.6193801817911,0.991094957137149,-0.004170565602574059,0.004994282783442522,-0.003342210239431802,0.001555643484730755,-0.001375504353826546,1649534.68400882,3.000730353763387
683,329.1012267802981,0.9910671247284408,-0.004157116616127807,0.004982321720541381,-0.003373179636694434,0.001689443074001896,-0.001510457838587788,1651331.189034285,3.000730353763387
684,329.5830733788051,0.9910390418160466,-0.004142558578321943,0.004969244644302802,-0.003402649689688596,0.0018232397575895,-0.001644783491616803,1653033.699909807,3.000730353763387
685,330.0649199773122,0.9910107209308736,-0.004126891637625107,0.004955056807285343,-0.003430595645257106,0.00195700341853606,-0.001778469575891661,1654642.876789493,3.000730353763386
686,330.5467665758192,0.9909821748059974,-0.004110116194737721,0.004939763559823418,-0.003456993475489293,0.00209070331354859,-0.001911504234141065,1656159.436385677,3.000730353763387
687,331.0286131743262,0.9909534163706524,-0.00409223290777415,0.004923370351075785,-0.003481819877479681,0.002224308075347651,-0.002043875476446881,1657584.151180758,3.000730353763386
688,331.5104597728332,0.9909244587442205,-0.00407324269742355,0.004905882730174544,-0.003505052273915542,0.002357785715461309,-0.00217557116838624,1658917.848635732,3.000730353763386
689,331.9923063713402,0.9908953152302117,-0.004053146752085691,0.004887306347470245,-0.003526668814499646,0.002491103627472752,-0.002306579019697271,1660161.410393686,3.000730353763387
690,332.4741529698473,0.9908659993102286,-0.004031946532977939,0.004867646955868814,-0.003546648378212469,0.002624228590731995,-0.002436886573454414,1661315.771476639,3.000730353763386
691,332.9559995683543,0.9908365246379097,-0.004009643779209516,0.004846910412256154,-0.003564970576417445,0.002757126774544082,-0.002566481195741371,1662381.919474004,3.000730353763386
692,333.4378461668613,0.9908069050328431,-0.003986240512819007,0.004825102679006292,-0.003581615756809836,0.002889763742848055,-0.0026953500658119,1663360.893721004,3.000730353763386
693,333.9196927653684,0.9907771544744435,-0.003961739043771014,0.004802229825569105,-0.003596565008210052,0.003022104459402419,-0.0028234801667303,1664253.784465295,3.000730353763386
694,334.4015393638754,0.9907472870957864,-0.00393614197490765,0.004778298030133657,-0.003609800166199255,0.003154113293494691,-0.002950858276485574,1665061.732020196,3.000730353763386
695,334.8833859623824,0.9907173171773929,-0.003909452206850485,0.004753313581363232,-0.003621303819593967,0.003285754026194147,-0.003077470959575076,1665785.925902552,3.000730353763387
696,335.3652325608894,0.9906872591409549,-0.003881672942848336,0.004727282880198204,-0.003631059317754955,0.003416989857168439,-0.003203304559055358,1666427.603953965,3.000730353763386
697,335.8470791593965,0.9906571275429997,-0.003852807693566144,0.004700212441722857,-0.003639050778723957,0.003547783412086006,-0.003328345189059478,1666988.051443079,3.000730353763386
698,336.3289257579034,0.9906269370684808,-0.003822860281809978,0.004672108897092284,-0.003645263098179092,0.00367809675062796,-0.003452578727782273,1667468.600147804,3.000730353763386
699,336.8107723564105,0.9905967025242925,-0.003791834847183034,0.004642978995515495,-0.003649681959199342,0.003807891375133983,-0.003575990810936295,1667870.627415376,3.000730353763386
700,337.2926189549175,0.9905664388327006,-0.00375973585066724,0.004612829606290792,-0.003652293842825566,0.003937128239908241,-0.003698566825683113,1668195.555198711,3.000730353763386
701,337.7744655534246,0.990536161024681,-0.0037265680791249,0.004581667720889457,-0.003653086039403522,0.004065767761212426,-0.003820291905046306,1668444.849067428,3.000730353763387
702,338.2563121519316,0.9905058842331621,-0.003692336649714566,0.004549500455083727,-0.003652046660693101,0.004193769827973716,-0.003941150922813619,1668620.017191918,3.000730353763386
703,338.7381587504386,0.9904756236861639,-0.003657047014215092,0.004516335051114968,-0.003649164652724101,0.00432109381323689,-0.004061128488937989,1668722.609298577,3.000730353763386
704,339.2200053489456,0.9904453946998266,-0.00362070496325157,0.004482178879897863,-0.003644429809378474,0.004447698586390019,-0.004180208945447804,1668754.215595079,3.000730353763387
705,339.7018519474527,0.990415212671324,-0.003583316630416626,0.004447039443256348,-0.003637832786674769,0.00457354252619424,-0.004298376362878717,1668716.465663787,3.000730353763387
706,340.1836985459597,0.9903850930716567,-0.003544888496280273,0.004410924376186913,-0.003629365117728709,0.004698583534648446,-0.00441561453724037,1668611.027321841,3.000730353763386
707,340.6655451444667,0.9903550514383165,-0.00350542739228127,0.004373841449144786,-0.003619019228362002,0.004822779051719963,-0.004531906987532466,1668439.60544673,3.000730353763387
