member_index,continuation_method,mode_amplitude_nd,spectral_samples,dg_dimension,base_z0_nd,base_orbit_jacobi,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,mean_jacobi,curve_jacobi_span,curve_residual_norm,determinant,determinant_error,unstable_ring_radius_median,unstable_ring_radius_min,unstable_ring_radius_max,unstable_ring_relative_span,stability_index,paper_stability_index,stability_index_error,acceptance
10,pseudo_arclength,2.5028686947550725e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432798555738,6.709012121132901,0.8556603457561691,7.343083430642065,3.0439999999998033,1.3756521961560964e-06,1.6258604875700655e-09,0.9999999985384385,1.4615615384627745e-09,2.399211528377307,2.3046037517686826,21.54963122718279,8.021396716291362,1.4080075637324279,1.3837,0.024307563732427928,fail
11,pseudo_arclength,2.6582308219456973e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432797779974,6.709012120796064,0.8556628323095008,7.343062091666152,3.043999999999954,1.4132974102132323e-06,1.3761108229638002e-09,0.9999999991657713,8.342286861307002e-10,2.5888415666370412,2.3587022843668617,22.86460614537101,7.9208801825759245,1.4875573608687298,1.3837,0.10385736086872988,fail
12,pseudo_arclength,2.7952388132834137e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432797092886,6.70901212049773,0.8556642614868747,7.343049826881154,3.0439999999998917,1.3750001337520246e-06,1.5351474851760384e-09,0.9999999998981188,1.0188117016696197e-10,2.821648935656882,2.350303295534553,24.047032186848757,7.689379290646301,1.5880258176071298,1.3837,0.20432581760712987,fail
13,pseudo_arclength,2.9694705268492e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432796239648,6.709012120127254,0.8556649407571832,7.343043997595083,3.0439999999999823,1.3641448552981217e-06,1.3127451405940758e-09,0.9999999993514415,6.485585402060678e-10,2.780929852019159,2.3263478281292675,25.523122188838684,8.341373423665058,1.570260903113052,1.3837,0.18656090311305218,fail
14,pseudo_arclength,3.116554684255604e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432795496387,6.70901211980453,0.8556659478692756,7.343035354890037,3.0439999999999094,1.3003110184151012e-06,1.2281038389165814e-09,0.9999999994094253,5.905747002543649e-10,2.775588438488322,2.3411200035759627,26.781778780214903,8.805577382340639,1.567936200334238,1.3837,0.18423620033423815,fail
15,pseudo_arclength,3.279414529905436e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432794642412,6.709012119433735,0.8556678799056936,7.343018774845306,3.043999999999895,1.2063788097371742e-06,1.1005837650865085e-09,0.9999999984156371,1.5843628631273532e-09,2.7215845241333247,2.3522068429964844,28.187199976488856,9.492629350440401,1.5445087682292709,1.3837,0.16080876822927093,fail
16,pseudo_arclength,3.436870349777928e-05,25,150,0.009505093924390853,3.0439999999990395,1.545143279380966,6.709012119072154,0.8556698659031677,7.343001731804151,3.0439999999999263,1.0190929327080767e-06,1.0331688427869868e-09,1.0000000016591795,1.659179460489213e-09,2.627409689141442,2.3596252809249134,29.53610529920827,10.343449721829948,1.504006342683634,1.3837,0.12030634268363416,fail
17,pseudo_arclength,3.5749088827378e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432793042998,6.7090121187392695,0.855671252342129,7.342989833982802,3.0439999999999747,8.534767332868398e-07,1.0940542864507688e-09,1.0000000005770016,5.770015576445076e-10,2.5374865225147514,2.359520425210041,30.704252847520888,11.170397230019601,1.4657886428046558,1.3837,0.08208864280465589,fail
18,pseudo_arclength,3.660324487597505e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432792590303,6.7090121185427085,0.8556697890352771,7.343002391452371,3.043999999999844,7.627445386404474e-07,1.749829300424698e-09,0.9999999999962021,3.7978509226377355e-12,2.3647004008233257,2.21724398782579,31.4321071409195,12.354572758105792,1.3937934766194706,1.3837,0.010093476619470687,fail
19,pseudo_arclength,3.724985240733418e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432792241102,6.709012118391086,0.8556668014649431,7.343028029628434,3.043999999999883,7.207305863232705e-07,1.581151410804093e-09,1.000000000999174,9.991740768100499e-10,2.3964281937559226,2.1633251502318993,31.998036912335106,12.449658136988973,1.4068579449610328,1.3837,0.02315794496103285,fail
20,pseudo_arclength,3.8217400020470304e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432791632802,6.709012118126962,0.855660930046434,7.343078416398676,3.043999999999831,5.616205993597134e-07,1.4374377600537406e-09,1.000000000936767,9.367671083282403e-10,2.3596327569315148,1.905679100504097,32.8342665031857,13.107373302827591,1.391713758908214,1.3837,0.008013758908214097,fail
21,pseudo_arclength,3.945179246588708e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432790796615,6.70901211776389,0.8556557391254843,7.343122963916846,3.0439999999999916,5.73807799497672e-07,7.905250651982416e-10,1.000000000017483,1.7482904013377265e-11,2.3607988343154402,1.8496948732683713,33.8183714584154,13.541465761701364,1.3921921344075932,1.3837,0.008492134407593221,fail
22,pseudo_arclength,4.082314691275971e-05,25,150,0.009505093924390853,3.0439999999990395,1.5451432789790698,6.70901211732712,0.855653455188421,7.343142564411178,3.0439999999997776,7.352602264809605e-07,1.7048374963752628e-09,1.0000000020038016,2.0038015691170585e-09,2.3617788409413496,2.091721133219721,34.92121656755866,13.900325832902233,1.3925942555435098,1.3837,0.008894255543509866,fail
23,pseudo_arclength,4.2594397326762826e-05,25,150,0.009505093924390853,3.0439999999990395,1.545143278842725,6.709012116735112,0.8556521599457728,7.343153680086292,3.043999999999849,1.0186008321255713e-06,1.5625236680618638e-09,1.0000000023358808,2.335880822101899e-09,2.3691120756220876,2.095599632435535,36.38986534048196,14.475577606028345,1.3956055719993783,1.3837,0.011905571999378362,fail
