eigen_index,real,imag,magnitude,angle_rad,classification
44,-0.44090090833105133,0.8975557887813244,1.0000000024710058,2.0273984870110064,unit
45,0.1928621811485836,0.9812258562418829,1.0000000009375025,1.3767180677440107,unit
46,0.1928621811485836,-0.9812258562418829,1.0000000009375025,-1.3767180677440107,unit
47,-0.7083901593951194,-0.7058210700271579,1.0000000004110625,-2.358011111704334,unit
48,-0.7083901593951194,0.7058210700271579,1.0000000004110625,2.358011111704334,unit
49,0.9999999834906113,0.00018316095105579608,1.0000000002645784,0.00018316095203144757,unit
50,0.9999999834906113,-0.00018316095105579608,1.0000000002645784,-0.00018316095203144757,unit
51,-0.701187837320915,-0.7129765894131116,1.0000000001289673,-2.3478584871042893,unit
52,-0.701187837320915,0.7129765894131116,1.0000000001289673,2.3478584871042893,unit
53,-0.13106673188654344,0.9913735478628787,0.9999999998048252,1.7022412442773385,unit
54,-0.13106673188654344,-0.9913735478628787,0.9999999998048252,-1.7022412442773385,unit
55,0.3841944710576788,0.923252190907883,0.9999999998037479,1.176461153406966,unit
56,0.3841944710576788,-0.923252190907883,0.9999999998037479,-1.176461153406966,unit
57,-0.9980506478764439,-0.06240916503802484,0.9999999998036665,-3.0791429044172602,unit
58,-0.9980506478764439,0.06240916503802484,0.9999999998036665,3.0791429044172602,unit
59,-0.6109229386668398,-0.791690067272378,0.9999999998035349,-2.2280221770417548,unit
60,-0.6109229386668398,0.791690067272378,0.9999999998035349,2.2280221770417548,unit
61,-0.8319237574033835,-0.5548899543826945,0.9999999998034963,-2.5533619716470564,unit
62,-0.8319237574033835,0.5548899543826945,0.9999999998034963,2.5533619716470564,unit
63,0.9475419702964534,0.31963137226110666,0.9999999998034016,0.3253404260309334,unit
64,0.9475419702964534,-0.31963137226110666,0.9999999998034016,-0.3253404260309334,unit
65,-0.9656429686867688,-0.25987238528159823,0.9999999998030717,-2.878702608156834,unit
66,-0.9656429686867688,0.25987238528159823,0.9999999998030717,2.878702608156834,unit
67,0.6591409092161247,-0.7520194554688516,0.9999999998029637,-0.8511205169013127,unit
68,0.6591409092161247,0.7520194554688516,0.9999999998029637,0.8511205169013127,unit
69,-0.44106550587728977,0.8974749128136017,0.9999999998022857,2.027581880779694,unit
70,-0.44106550587728977,-0.8974749128136017,0.9999999998022857,-2.027581880779694,unit
71,-0.9656428592928563,-0.2598727917677878,0.9999999998022336,-2.8787021872078458,unit
72,-0.9656428592928563,0.2598727917677878,0.9999999998022336,2.8787021872078458,unit
73,-0.9980526898126416,-0.06237650168201478,0.9999999998021677,-3.07917563153644,unit
74,-0.9980526898126416,0.06237650168201478,0.9999999998021677,3.07917563153644,unit
75,0.192682651666298,-0.981261124956631,0.9999999998021544,-1.3769010287161252,unit
76,0.192682651666298,0.981261124956631,0.9999999998021544,1.3769010287161252,unit
