member_index,curve_samples,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
24,15,3.1389,0.006814794979286909,2.958119235386622,12.84415372004871,0.3586257963012607,17.52017108635835,2.509979560105308e-12,2.000735355167649e-08,0.006,6
25,15,3.1389,0.007022161035631614,2.957698332809152,12.84232616105734,0.3568115630041118,17.6092536191356,1.885957752000689e-12,2.696866419071853e-08,0.0072,6
26,15,3.1389,0.007269139282522056,2.957176395696778,12.84005991011541,0.3545601001705858,17.72107268741357,3.56012801585371e-12,3.817569949049471e-08,0.00864,7
27,15,3.1389,0.007513994517801889,2.956636204000492,12.83771439777013,0.3522278116586445,17.83841337681996,5.675037953712981e-12,5.344708542409649e-08,0.00864,7
28,15,3.1389,0.007756628384146366,2.956077906661947,12.83529027072617,0.3498150567722443,17.9614490158164,9.683016600021488e-12,7.405759738787765e-08,0.00864,7
29,15,3.1389,0.007996946090897371,2.955501649421504,12.83278816178817,0.3473221579937624,18.09036700529894,1.62013658008912e-11,1.016238706519346e-07,0.00864,7
30,15,3.1389,0.00823485061290755,2.954907587109679,12.83020874323022,0.3447494518712056,18.22536706897191,2.677356460540793e-11,1.381812499978707e-07,0.00864,7
31,15,3.1389,0.00847024251522749,2.954295884376179,12.82755272996137,0.3420972897770586,18.36666204305295,5.59386747233999e-11,1.862748160164074e-07,0.00864,7
32,15,3.1389,0.008703019768702186,2.953666716504405,12.82482088306213,0.3393660387934927,18.51447873074584,2.912822158743385e-10,2.490667241339395e-07,0.00864,7
33,15,3.1389,0.008933077555300558,2.95302027032488,12.82201401375063,0.3365560827515312,18.66905882612814,1.290231884608968e-09,3.304621403188435e-07,0.00864,7
34,15,3.1389,0.009160308062466429,2.952356745237788,12.81913298782247,0.3336678234360295,18.83065991343392,1.693912316475032e-10,4.352542615215782e-07,0.00864,8
35,15,3.1389,0.009384600268988604,2.951676354357289,12.81617873061935,0.3307016820277023,18.99955654490216,2.609369028651489e-10,5.692994631267823e-07,0.00864,8
36,15,3.1389,0.009605839718024057,2.950979325787689,12.81315223257014,0.3276581007253409,19.17604140801165,3.976264924556823e-10,7.397101526862571e-07,0.00864,8
37,15,3.1389,0.009823908282935445,2.950265904047112,12.81005455537256,0.3245375446773647,19.3604265830813,5.997220562030863e-10,9.550854507267559e-07,0.00864,8
