theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
8,11,211.0,247.5,464135.3095289774,-294.69917149505335,1.0,6.483702463810914e-14
8,12,211.0,270.0,362091.077509571,-291.128618830186,1.0,4.298783551348606e-13
8,13,211.0,292.5,272769.72353824857,-412.6252361183724,1.0,1.2509993041476264e-12
8,14,211.0,315.0,388214.1422432671,-284.61368471410606,1.0,4.933831121434196e-13
8,15,211.0,337.5,343820.5671656571,-465.056,1.0,8.926193117986259e-14
9,0,212.0,0.0,398489.3124533199,-349.8012748492301,1.0,3.490541189421492e-13
9,1,212.0,22.5,461067.70084717375,-355.8412128246868,1.0,6.084022174945858e-14
9,2,212.0,45.0,613056.766286826,-295.2068628605824,1.0,3.1086244689504383e-15
9,3,212.0,67.5,472872.7620039903,-294.81230001640677,1.0,8.615330671091215e-14
9,4,212.0,90.0,368849.5438181375,-291.2196861642063,1.0,6.425970866530406e-13
9,5,212.0,112.5,278395.7541512543,-412.133326858058,1.0,1.141309269314661e-12
9,6,212.0,135.0,388541.1236394568,-284.6336587547573,1.0,4.82280881897168e-13
9,7,212.0,157.5,488427.2437228336,-283.2888682813724,1.0,6.750155989720952e-14
9,8,212.0,180.0,398469.72528759204,-349.80049037847596,1.0,3.494982081519993e-13
9,9,212.0,202.5,462490.6840892599,-355.87157562306425,1.0,5.639932965095795e-14
9,10,212.0,225.0,613497.6613381827,-295.175755481376,1.0,3.552713678800501e-15
9,11,212.0,247.5,473275.0264338542,-294.7945004928258,1.0,7.593925488436071e-14
9,12,212.0,270.0,368171.99723468284,-291.26012015686706,1.0,4.1255887595070817e-13
9,13,212.0,292.5,278696.2288580951,-412.08565924997356,1.0,1.0267342531733448e-12
9,14,212.0,315.0,388565.2776461831,-284.6022125284074,1.0,4.916067553040193e-13
9,15,212.0,337.5,488531.9609970269,-283.3330307775224,1.0,8.08242361927114e-14
10,0,213.0,0.0,384040.97668993473,-349.7007730318067,1.0,5.142553050063725e-13
10,1,213.0,22.5,438380.53257236286,-355.85099177106355,1.0,1.2922996006636822e-13
10,2,213.0,45.0,622305.650737036,-295.03193651373095,1.0,3.552713678800501e-15
10,3,213.0,67.5,482068.62919495726,-294.8994177813585,1.0,1.141309269314661e-13
10,4,213.0,90.0,375046.10069769126,-291.34896933522384,1.0,6.421529974431905e-13
10,5,213.0,112.5,285174.9173773297,-411.60715472496526,1.0,2.8528290840768022e-12
10,6,213.0,135.0,388904.70021694375,-284.6279878690534,1.0,4.787281682183675e-13
10,7,213.0,157.5,486840.36063307634,-283.1538118179251,1.0,4.263256414560601e-14
10,8,213.0,180.0,384007.54725095123,-349.6993925941781,1.0,5.151434834260726e-13
10,9,213.0,202.5,439822.2466942746,-355.88167138488495,1.0,1.2079226507921703e-13
