time_phase_index,curve_phase_index,x_nd,y_nd,z_nd
0,36,0.9894716090267203,4.49469283483393e-07,0.006279954962291424
0,37,0.9894716117746878,4.439116502114194e-07,0.006279960152936814
0,38,0.9894716147616387,4.390634225982199e-07,0.006279965794942283
0,39,0.9894716179537287,4.349795331832188e-07,0.00627997182438199
0,40,0.9894716213147915,4.317062543346606e-07,0.00627997817294028
0,41,0.9894716248067437,4.292806739539972e-07,0.006279984768685687
0,42,0.9894716283900209,4.277302752389944e-07,0.006279991536885956
0,43,0.9894716320240228,4.270726252678829e-07,0.006279998400854771
0,44,0.9894716356675748,4.273151759343483e-07,0.006280005282820639
0,45,0.9894716392793936,4.284551794904814e-07,0.006280012104808063
0,46,0.9894716428185566,4.304797196563601e-07,0.006280018789521059
0,47,0.9894716462449636,4.333658579454273e-07,0.00628002526121893
0,48,0.9894716495197914,4.370808935491197e-07,0.006280031446574462
0,49,0.9894716526059336,4.415827338371298e-07,0.006280037275504755
0,50,0.9894716554684253,4.468203712758995e-07,0.006280042681965342
0,51,0.9894716580748321,4.527344613617183e-07,0.006280047604698464
0,52,0.9894716603956217,4.592579950198799e-07,0.006280051987927194
0,53,0.9894716624045,4.663170578506977e-07,0.00628005578198744
0,54,0.989471664078704,4.738316676190018e-07,0.006280058943890636
0,55,0.9894716653992646,4.817166804971583e-07,0.006280061437810876
0,56,0.9894716663512187,4.898827557926754e-07,0.006280063235490823
0,57,0.9894716669237815,4.982373682289378e-07,0.006280064316561897
0,58,0.9894716671104654,5.066858563089486e-07,0.006280064668775064
0,59,0.9894716669091542,5.151324948832911e-07,0.006280064288139597
1,0,0.9894858408523002,0.0006520507989643547,0.006258129714085467
1,1,0.9894858408238101,0.0006520592238335874,0.006258129150237193
1,2,0.9894858404075688,0.00065206754278455,0.006258127861193816
1,3,0.989485839608292,0.0006520756615598533,0.006258125861560918
1,4,0.9894858384350379,0.0006520834881702235,0.006258123173995421
1,5,0.9894858369010998,0.0006520909339367895,0.00625811982894884
1,6,0.9894858350238578,0.0006520979144958632,0.006258115864322259
1,7,0.9894858328245798,0.0006521043507548218,0.006258111325036858
1,8,0.989485830328187,0.000652110169788272,0.006258106262524959
1,9,0.989485827562964,0.0006521153056643213,0.006258100734147232
1,10,0.989485824560241,0.0006521197001916156,0.006258094802542742
1,11,0.9894858213540423,0.0006521233035786668,0.006258088534919251
1,12,0.9894858179806933,0.0006521260749979964,0.006258082002291667
1,13,0.9894858144784168,0.0006521279830487155,0.006258075278677437
1,14,0.9894858108868941,0.0006521290061122872,0.006258068440257876
1,15,0.9894858072468197,0.0006521291325974535,0.006258061564515021
1,16,0.9894858035994363,0.0006521283610715416,0.006258054729353704
1,17,0.9894857999860707,0.0006521267002766734,0.006258048012218877
1,18,0.9894857964476627,0.0006521241690306918,0.006258041489218141
1,19,0.9894857930243051,0.0006521207960139281,0.006258035234259423
1,20,0.9894857897547851,0.0006521166194442262,0.00625802931821357
1,21,0.9894857866761475,0.0006521116866439114,0.006258023808111381
1,22,0.9894857838232749,0.0006521060535036073,0.006258018766384136
1,23,0.9894857812284902,0.0006520997838489729,0.006258014250156227
1,24,0.9894857789211945,0.0006520929487175414,0.006258010310597947
1,25,0.9894857769275296,0.0006520856255538451,0.006258006992345724
1,26,0.9894857752700845,0.0006520778973319537,0.006258004332996387
1,27,0.9894857739676384,0.0006520698516153576,0.006258002362681193
1,28,0.9894857730349489,0.0006520615795648551,0.006258001103724445
1,29,0.9894857724825835,0.0006520531749056789,0.006258000570390555
1,30,0.9894857723168009,0.0006520447328655673,0.006258000768722418
1,31,0.9894857725394791,0.0006520363490958106,0.006258001696472956
1,32,0.9894857731480948,0.0006520281185874972,0.006258003343130561
1,33,0.9894857741357528,0.0006520201345952433,0.006258005690038196
1,34,0.9894857754912633,0.000652012487580593,0.006258008710604775
1,35,0.9894857771992654,0.0006520052641870639,0.006258012370606407
1,36,0.9894857792404104,0.0006519985462584586,0.006258016628574206
