target_jacobi,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9221,10,1.1023132117858923,0.8027007086442569,-0.06385613278677824,0.030216458126579495,-0.08411343072510764,0.5067984440733423,-0.023813126573963273,2.9220999999887427,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,11,1.2125445329644815,0.8036471009728232,-0.06360946552525118,0.032216674432185774,-0.08432950430120474,0.5059682687779758,-0.017680913990921233,2.9220999999886144,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,12,1.3227758541430708,0.8045566730040143,-0.06372816520122818,0.03386436099157453,-0.08475454081229604,0.5050114467697648,-0.011400833571586427,2.922099999988499,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,13,1.43300717532166,0.8053785032097327,-0.06419758543379404,0.03510324508674362,-0.08538439645155319,0.5039847012679607,-0.0050617281325913395,2.9220999999882586,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,14,1.5432384965002492,0.8060683905627283,-0.06495999783197459,0.03588478489981366,-0.08617635895865196,0.5029584528497916,0.001253292650470233,2.922099999987869,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,15,1.6534698176788385,0.806592341174568,-0.06593669351008344,0.036172861498617856,-0.08706238748025766,0.5020045897296973,0.007468767904887231,2.9220999999874255,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,16,1.7637011388574277,0.8069265563323431,-0.06704816349513884,0.03594563802047954,-0.08796350298823749,0.5011873413852638,0.013518186784654742,2.922099999987209,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,17,1.873932460036017,0.8070548159697355,-0.06822330091027232,0.03519546824230406,-0.08879837280535353,0.5005602479179887,0.01934389817858,2.922099999987565,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,18,1.9841637812146062,0.8069657348241372,-0.06939564602276907,0.03392837750136355,-0.08948516297478672,0.5001685050314387,0.024895813492925963,2.922099999988774,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,19,2.0943951023931953,0.8066525748616346,-0.0704933295951431,0.0321641961483874,-0.08994225039491492,0.5000520421715722,0.030130111770101657,2.922099999990741,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
