kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
targeted_trajectory,31,14.88928708770439,6563.000041081413,35.19970097013366,0.9942649416795046,-0.009849174763989109,3.519608583721248e-22,-0.01535076015306556,0.004550640751336129,-6.368051173380507e-22,1704777.164690286,3.000356027154448
targeted_trajectory,32,14.88928708770439,6563.000041081413,36.33517519497667,0.9939658769191481,-0.009750631326038988,3.393210232205164e-22,-0.01526650161940739,0.005537125826265509,-6.572539070019997e-22,1715159.092305519,3.000356027154448
targeted_trajectory,33,14.88928708770439,6563.000041081413,37.47064941981967,0.9936687332484565,-0.009632958388521786,3.26291325700644e-22,-0.01515410548507899,0.006509243131546086,-6.767289752582407e-22,1724213.96506499,3.000356027154448
targeted_trajectory,34,14.88928708770439,6563.000041081413,38.60612364466273,0.9933740573514602,-0.009496443560208257,3.128905178329229e-22,-0.01501386903053584,0.007466265204143118,-6.95256740245982e-22,1732016.232856408,3.000356027154448
targeted_trajectory,35,14.88928708770439,6563.000041081413,39.74159786950574,0.9930823901745024,-0.009341389460613494,2.991368895692421e-22,-0.01484608372834456,0.008407383559005811,-7.128582081063787e-22,1738642.245107809,3.000356027154448
targeted_trajectory,36,14.88928708770439,6563.000041081413,40.87707209434874,0.992794266966273,-0.009168115244176328,2.850483682687452e-22,-0.01465104275013601,0.00933171455061778,-7.295495955507591e-22,1744170.356505245,3.000356027154449
targeted_trajectory,37,14.88928708770439,6563.000041081413,42.0125463191918,0.9925102171714703,-0.008976958016001067,2.706426068713868e-22,-0.01442904846196675,0.01023830465774426,-7.453428680567751e-22,1748680.987026066,3.000356027154448
targeted_trajectory,38,14.88928708770439,6563.000041081413,43.1480205440348,0.9922307641775308,-0.008768274147987701,2.559370622243104e-22,-0.01418041998400505,0.01112613543716643,-7.602462128558354e-22,1752256.63552045,3.000356027154448
targeted_trajectory,39,14.88928708770439,6563.000041081413,44.28349476887781,0.9919564249126459,-0.008542440499592283,2.409490646739283e-22,-0.01390550086415847,0.01199412837109336,-7.742644627128229e-22,1754981.845475209,3.000356027154448
targeted_trajectory,40,14.88928708770439,6563.000041081413,45.41896899372086,0.9916877092925711,-0.008299855543232093,2.256958797493751e-22,-0.01360466688833437,0.0128411498170836,-7.873994840001847e-22,1756943.121161012,3.000356027154448
