vertical_rms_amplitude_nd,accepted,combined_newton_metric,curve_residual_norm,amplitude_residual,phase_residual,rotation_angle_rad,strobe_max_abs_y_km,strobe_max_abs_z_km
0.000703876357,true,7.654370369740582e-13,7.654370369740582e-13,1.0842021724855044e-19,2.6444368613279257e-18,0.0637191593381309,552573.2883403391,108953.32033965686
0.000714285148,true,1.4827856063178042e-12,1.4827856063178042e-12,1.8431436932253575e-18,6.462861387550312e-19,0.0645357456894632,562781.6226210863,110734.14394670908
0.000726432268,true,1.6736327956723221e-12,1.6736327956723221e-12,1.0842021724855044e-18,-5.55653613398821e-19,0.06558041608877625,574198.043965405,112817.24613690308
0.000740639017,true,2.456316339939656e-12,2.456316339939656e-12,1.5178830414797062e-18,5.505714157152952e-19,0.06694051047394596,586922.9610690103,115253.97719372567
0.000748967655,true,2.8835800179441447e-12,2.8835800179441447e-12,1.8431436932253575e-18,-1.7499700690273845e-18,0.06800200001980045,596122.615394313,116696.61884544654
0.000758653295,true,2.936472887295213e-11,2.936472887295213e-11,1.583119486198159e-14,5.589401012341677e-17,0.06931567492424094,606005.0012957375,118355.37616864884
0.000769935823,true,3.979324152578117e-11,3.979324152578117e-11,3.393552799879629e-16,6.338686357482831e-17,0.07100559726366823,617145.2665224577,120252.17122981785
0.000783103691,true,1.0971320458879863e-11,1.0971320458879863e-11,2.6020852139652106e-17,1.026603932072212e-18,0.07334994987831377,630558.0009305753,122381.4896056572
0.000790804707,true,1.2333501043963183e-11,1.2333501043963183e-11,3.2959746043559335e-17,5.325719655861413e-19,0.0739135316903025,632421.8401621083,123624.46074026302
0.000799747967,true,1.827423103430536e-11,1.827423103430536e-11,-4.336808689942018e-19,2.1141942363467336e-18,0.07610339796140378,643137.8127268442,124921.58072091121
0.000810149027,true,2.589590763613461e-11,2.589590763613461e-11,-1.1817803680091998e-17,2.1396052247643627e-18,0.07833685401568756,652289.5140537323,126327.2888407321
0.000822265807,true,4.459234799142873e-11,4.459234799142873e-11,-2.5045070184415152e-17,-1.6567964448294115e-18,0.08254159834739964,667586.3868785828,127271.31396183185
0.000829337158,true,4.7487153643469104e-11,4.7487153643469104e-11,5.7462715141731735e-18,4.5765454837945864e-18,0.08302596280748613,668466.1998533208,128346.55330236051
0.000837539145,true,5.188193191283804e-11,5.188193191283804e-11,1.1926223897340549e-18,-4.530355718389625e-18,0.08375435775307816,670058.972306625,129526.90719630239
0.000847064714,true,5.887067277319917e-11,5.887067277319917e-11,3.404394821604484e-17,-2.1565458837094487e-18,0.08487187642398267,672788.6756558385,130773.90770683861
0.00085260421,true,6.492316600684778e-11,6.492316600684778e-11,1.4268100589909238e-16,-2.3255289566866816e-18,0.08580297109538314,675247.4081229644,131358.18515228908
0.000859016291,true,6.830908958880663e-11,6.830908958880663e-11,1.2880321809127793e-16,-4.359943277313901e-18,0.08625155837281759,676018.5437962416,132310.9731430669
0.00086644564,true,6.681982510805767e-11,6.681982510805767e-11,-5.811323644522304e-17,-4.175872429963701e-18,0.08591637045762025,674137.8090538443,133807.2668554099
