theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
5,2,48.25,61.5,8298.962420775033,-432.89510046051305,1.0,8.943512597170411e-12
5,3,48.25,61.75,7797.561980590298,-432.98228632739097,1.0,8.999911926821369e-12
5,4,48.25,62.0,7308.0737321719225,-433.07176321865717,1.0,9.775291687219578e-12
5,5,48.25,62.25,6830.959194457149,-433.163513341462,1.0,1.0305090114570703e-11
5,6,48.25,62.5,6366.685378465732,-433.2575141839588,1.0,1.3140599719463353e-11
5,7,48.25,62.75,5915.715878975348,-433.35374366494386,1.0,1.2112977287870308e-11
5,8,48.25,63.0,5478.520576796084,-433.4521722369784,1.0,1.3526957332032907e-11
6,0,48.5,61.0,9637.396069870527,-432.71904925356256,1.0,8.131717521564497e-12
6,1,48.5,61.25,9106.820214090798,-432.80066749888806,1.0,8.141043394971348e-12
6,2,48.5,61.5,8587.108729156864,-432.8845715882563,1.0,8.123723915787195e-12
6,3,48.5,61.75,8078.7020096335855,-432.9707526174879,1.0,8.945821861061631e-11
6,4,48.5,62.0,7582.046890164117,-433.0591985219639,1.0,8.814105001420103e-11
6,5,48.5,62.25,7097.597168922587,-433.1498931614368,1.0,9.705170000984253e-11
6,6,48.5,62.5,6625.809774078145,-433.24281738951606,1.0,5.1516124699446664e-11
6,7,48.5,62.75,6167.144028353942,-433.3379493387006,1.0,1.1089928975138719e-10
6,8,48.5,63.0,5722.062192546773,-433.43526238244925,1.0,5.839462247081428e-11
7,0,48.75,61.0,9937.738467136032,-432.7134109160247,1.0,8.44169179003984e-12
7,1,48.75,61.25,9400.694341739136,-432.79408230670066,1.0,6.679234942907897e-11
7,2,48.75,61.5,8874.381880425934,-432.8770067475284,1.0,7.776002064474596e-11
7,3,48.75,61.75,8359.232664375806,-432.9621765848018,1.0,1.8631318710049527e-11
7,4,48.75,62.0,7855.684136359803,-433.0495815012771,1.0,1.127897775177189e-11
7,5,48.75,62.25,7364.179609968873,-433.13920780027587,1.0,1.000444171950221e-11
7,6,48.75,62.5,6885.1672256210095,-433.231038925692,1.0,1.0587086762825493e-11
7,7,48.75,62.75,6419.098999790797,-433.32505416184625,1.0,1.1233236563157334e-11
7,8,48.75,63.0,5966.429736903941,-433.42122899461845,1.0,1.213162903468401e-11
8,0,49.0,61.0,10236.473145147711,-432.71070867913846,1.0,6.536993168992922e-11
8,1,49.0,61.25,9693.199363998643,-432.79043437630094,1.0,2.0378809750809523e-11
8,2,49.0,61.5,9160.537076780467,-432.87237638011635,1.0,8.94129215112116e-12
8,3,49.0,61.75,8638.906470213176,-432.95652906943434,1.0,8.122391648157645e-12
8,4,49.0,62.0,8128.734431657973,-433.04288388997816,1.0,9.515943588667142e-12
8,5,49.0,62.25,7630.452425914443,-433.1314304992224,1.0,9.904521647285947e-12
8,6,49.0,62.5,7144.502737073275,-433.22215188993005,1.0,1.0256551163934091e-10
8,7,49.0,62.75,6671.3250455509415,-433.3150313668956,1.0,1.0972067698844512e-10
8,8,49.0,63.0,6211.367825907097,-433.4100455230639,1.0,1.1570211455591561e-10
